Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
Series,CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt),CO2 emissions (kt)
Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (excluding high income),East Asia & Pacific (IDA & IBRD countries),Euro area,Europe & Central Asia,Europe & Central Asia (excluding high income),Europe & Central Asia (IDA & IBRD countries),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (IDA & IBRD countries),Upper middle income
Country Code,AFG,ALB,DZA,ASM,AND,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NCL,NZL,NIC,NER,NGA,MKD,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROU,RUS,RWA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SXM,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,KNA,LCA,MAF,VCT,SDN,SUR,SWE,CHE,SYR,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,PSE,YEM,ZMB,ZWE,AFE,AFW,ARB,CSS,CEB,EAR,EAS,EAP,TEA,EMU,ECS,ECA,TEC,EUU,FCS,HPC,HIC,IBD,IBT,IDB,IDX,IDA,LTE,LCN,LAC,TLA,LDC,LMY,LIC,LMC,MEA,MNA,TMN,MIC,NAC,INX,OED,OSS,PSS,PST,PRE,SST,SAS,TSA,SSF,SSA,TSS,UMC
1990,2380,5980,62940,..,410,6560,210,100320,19850,..,263630,58270,53480,1960,10740,11520,980,99830,109310,330,330,..,80,10410,23970,2810,197900,..,3260,73610,500,170,100,1260,2900,419490,..,150,390,..,30520,2173360,48730,70,3180,3200,2870,2710,20340,35620,..,4590,150200,52090,270,60,7860,15420,87750,2380,60,..,35280,560,2310,..,690,54560,356240,..,4100,190,33490,955310,2790,..,75620,..,110,..,3930,1000,170,1170,1020,2450,..,67420,1950,563580,148530,198470,64210,30960,..,33810,405260,7470,1090530,9930,237250,6140,20,123330,247680,..,29130,22760,510,18780,5620,340,450,28600,200,32220,11290,..,890,550,54620,160,10,2310,..,940,1160,269580,..,30530,..,12970,1920,21500,1120,4080,..,130,940,148380,..,22310,1930,570,72770,8590,..,29310,11920,59030,..,2690,2170,2070,20880,41080,350210,41070,..,12540,172630,2163530,550,90,..,50,171410,2330,61910,150,320,28970,..,54810,13530,150,730,247660,430,214950,3840,110,190,..,80,5370,1760,53350,43330,32390,11020,1890,89220,..,980,80,13150,14540,139200,44650,..,10,790,688620,55210,561770,4844520,3850,117770,70,101630,19330,..,..,6640,2740,16540,304354.8827,97925.79689,636128.9932,27580,989030,2616614.022,4510718.56,2672061.774,2548812.621,2622740,7975648.082,3845991.793,4388662.176,3562590,440846.9422,61205.0312,11662286.3,8938244.417,9360337.743,281883.7732,138844.7934,421130.4774,6279667.985,902966.2182,734540,851080,66332.23975,8828738.319,190456.2098,2244488.883,863944.0956,538660.5061,532860,8638739.102,5265754.996,..,11338340,84408.91967,1617.8125,11378373.3,188709.7481,113658.6093,641530,641530,402373.2235,402223.5339,402373.2235,6394510.087
1991,2230,4060,66430,..,410,6670,220,105920,20690,..,264760,62420,52060,2040,10350,10830,980,96220,113960,430,270,..,130,10870,21440,2730,205480,..,3380,58830,510,220,100,1300,6970,413300,..,140,400,..,29300,2302180,50440,70,1740,3190,3060,2790,14740,27420,..,5110,136900,62800,290,60,8230,15740,89370,3070,70,..,31540,560,2330,..,680,55130,380650,..,4560,200,25510,932550,2560,..,75820,..,120,..,4030,1020,170,1140,1000,2450,..,64550,1910,607230,162400,219100,45550,31470,..,34520,404070,7410,1103980,9780,246370,5890,20,117340,274790,..,7820,20420,550,17200,7040,350,370,28820,210,34290,11750,..,950,640,65100,160,10,2210,..,980,1250,288000,..,24600,..,14760,1360,23120,940,4020,1120,130,1180,154510,..,22630,1920,540,81930,8380,..,27330,15720,60310,..,3120,2180,2020,20270,40650,351620,42770,..,14980,142760,2136440,500,100,..,50,187930,2330,52200,170,340,30470,..,47940,12740,160,710,242330,410,222100,3990,110,200,..,90,4800,2050,54240,45670,35770,10170,1870,98070,..,930,90,13050,15030,143800,37790,..,10,810,651930,61560,570680,4807500,4370,118580,70,100990,19800,..,..,8500,2880,18300,298735.4356,111479.4705,638311.6162,27900,913110,2742521.544,4720763.249,2830000.842,2712741.089,2638230,7854524.738,3738657.641,4247249.795,3524670,440429.3482,63398.98039,11656549.5,9047190.316,9485523.142,298741.7735,138160.8289,437441.0172,6341401.636,929315.0818,761420,885160,65739.89642,8974875.567,187523.0021,2311084.114,888015.9393,554774.0227,548800,8787754.506,5222530.672,..,11382690,83227.23554,1643.90625,11338333.78,180997.6397,112824.0815,686060,686060,410255.1967,410085.3999,410255.1967,6476987.812
1992,1390,2220,66840,..,410,6880,290,107930,10900,..,268400,57660,63610,2570,12270,11820,1180,87990,112330,500,280,..,120,11150,15970,3300,207870,..,3590,55360,520,180,110,1350,6850,426370,..,150,410,..,30320,2418180,52510,70,1480,3130,4150,2770,15040,21770,..,5480,134140,57030,300,80,9620,16850,90900,3350,900,440,23820,580,1520,..,720,52280,368590,..,4530,200,20070,892820,3080,..,78180,..,170,..,4830,1050,180,1080,900,2730,..,58000,1940,626290,171510,233650,67340,31510,..,36860,402270,8150,1115060,11930,253840,5950,20,104690,297050,..,23050,13800,600,13970,7020,350,400,26340,210,19980,11440,..,960,630,67170,230,10,2170,80,1010,1320,291680,110,20320,..,12860,1480,24880,1100,4280,1220,120,1230,153250,..,24380,2240,500,91810,8540,..,30200,14920,66980,200,3640,2180,2470,21030,44020,343370,46770,..,14680,126190,2030810,500,100,..,40,202040,2570,47990,180,320,31410,..,46100,12830,170,680,238820,360,232370,5250,150,300,..,120,4530,2050,56750,45700,35150,7690,1860,107950,..,750,80,13150,16110,149800,28100,..,10,820,574640,59700,557890,4879630,4770,113080,60,103110,20810,..,..,9130,2850,18470,295090,122740.5332,692897.3074,29790,848800,2816236.357,4894966.731,2957304.271,2852685.391,2563820,7507954.299,3513547.532,3997662.001,3409700,472085.0166,62425.03099,11694563.44,9032910,9473857.494,310097.1624,129248.8736,440082.1553,6325141.658,946681.3782,773530,907190,65852.2374,8965154.99,172411.9252,2290422.851,959739.1831,596008.0467,589590,8792989.298,5307758.916,..,11417400,79448.74718,1670,11278742.9,212602.1624,110960.1366,713310,713310,417794.3274,417614.5076,417794.3274,6502838.3
1993,1340,2060,72220,..,410,9270,250,110260,5040,..,273050,57800,48050,2090,13070,12570,1000,76420,110110,470,290,..,130,10200,13400,3250,215260,..,3930,55930,530,190,110,1380,5770,422050,..,160,410,..,32320,2645410,55880,70,1900,2690,4180,2960,15540,20150,..,5740,130980,59360,300,80,9520,16950,92660,3920,960,630,18340,590,1940,..,700,53460,349420,..,4650,210,16090,887060,3190,..,78090,..,150,..,5110,1080,180,1090,690,2900,..,58380,1980,651350,185090,236730,89560,31650,..,40500,396930,8320,1107610,12200,219240,5860,30,96710,327600,..,30740,10110,610,11760,10330,360,420,30580,220,15740,11650,..,1000,720,73040,200,10,2810,90,1050,1470,300670,110,17410,..,11850,1290,25580,1290,4810,1410,110,1410,158150,..,23960,2200,570,86240,8840,..,32430,15180,73750,200,3800,2210,2820,21800,47800,344020,45790,..,16610,117700,1880250,510,110,..,40,203260,2510,42720,190,330,36160,..,44320,13560,180,640,246490,250,218080,5090,140,290,..,130,3210,2060,56500,43450,35880,5170,1920,122720,..,630,90,10720,16410,155580,26970,..,10,810,499310,63620,541380,4995210,4490,114590,60,107390,24240,..,..,8550,2510,17080,303600,116094.9913,746034.6222,26790,826270,2915066.427,5200003.33,3217617.851,3120965.303,2510460,7121012.751,3205163.517,3682041.026,3348870,476641.8021,59839.67996,11780309.16,9093840,9529809.685,309797.02,124474.6697,435049.0787,6356465.732,971639.7202,795100,934060,68621.43962,9015194.806,164048.5849,2271627.119,1021536.308,637868.8199,631000,8851320.109,5419055.798,..,11509000,78272.99416,1690,11270261.58,229543.5357,106793.6096,745840,745840,419729.7675,419539.9227,419729.7675,6579896.245
1994,1290,2070,73610,..,410,11300,250,111910,2740,..,280180,58280,33520,2070,13370,13540,1030,64810,114900,450,280,..,140,9520,3160,3080,222500,..,4270,53720,540,190,110,1480,4620,436760,..,160,430,..,35640,2767670,56780,70,2210,2060,4850,3090,14870,21720,..,5980,124710,63200,290,80,11140,18800,87900,4460,1030,730,17820,610,2260,..,700,59930,344400,..,4620,210,10440,875900,3460,..,79730,..,160,..,5430,1120,180,1410,190,3250,..,57780,2090,685900,199180,266690,102120,32820,..,43360,392290,8380,1160780,12990,199170,5870,30,88750,354280,..,36670,6550,640,10220,11270,360,420,38640,200,14810,10810,..,1210,740,79740,200,10,2510,90,1070,1510,326500,110,14140,..,10320,1260,27710,1100,5650,1640,110,1740,157260,..,24230,2530,550,78330,8550,..,34410,16190,76250,200,4040,2060,3340,22540,51510,339750,47300,..,18490,115160,1685050,470,100,..,50,206360,2610,38900,210,350,37980,..,41700,13610,190,630,252140,340,228450,5770,150,310,..,140,4700,2070,58490,42590,37440,3040,1910,137060,..,910,90,8790,16420,153820,33550,..,10,730,415670,70780,535180,5066810,4270,108880,60,106530,26680,..,..,9340,2140,15960,312160,107217.436,790632.5502,25290,804150,3050351.853,5454570.446,3372495.93,3283801.319,2508720,6745972.165,2844981.329,3314501.062,3336400,474282.0382,60460.57134,11968296.46,9036320,9460232.09,295670.3159,126597.6667,422939.4963,6264091.368,1016227.762,838460,976410,75579.94776,8946086.007,160557.9748,2256580.509,1097248.083,691870.3291,684420,8785682.934,5505394.409,..,11702420,80493.86098,1690,11334747.85,236666.1558,107506.4371,784830,784830,419499.1192,419289.2176,419499.1192,6529307.899
1995,1240,1930,76440,..,430,12720,270,112890,3510,..,290180,61180,32470,2200,13540,16550,1070,57640,114570,460,300,..,160,8580,3370,3190,241280,..,4600,54880,570,200,120,1470,4680,448050,..,160,440,..,38970,3088620,59310,80,2110,2640,4810,3370,15460,23180,..,5850,125180,60000,320,100,11840,20920,93720,4960,1100,800,16260,630,2570,..,710,56090,352240,..,5210,220,8180,874660,3710,..,82830,..,170,..,6350,1160,180,1530,900,3870,..,57430,2000,737860,223680,271520,100070,33450,..,46780,416420,8680,1171010,13600,175240,6370,30,83420,385410,..,36250,4600,670,9000,13300,370,420,43480,200,13740,8660,..,1370,750,86310,260,10,2380,90,1170,1550,306840,120,12140,..,10280,1330,28790,1170,6940,1770,110,1900,164110,..,24330,2650,530,86170,8520,..,34390,18870,82740,200,4360,2130,3780,25650,61750,340000,50690,..,19050,120880,1635490,460,120,..,50,204830,2760,44550,200,240,37580,..,42370,14470,200,600,264310,360,240570,5820,150,340,..,150,4510,2090,58230,43440,38980,2510,2730,155780,..,980,100,8620,16780,168150,33990,..,10,950,399250,75170,526810,5117040,4690,98150,70,114040,31400,..,..,10530,2130,15480,327430,117296.8446,814792.2757,25830,809670,3186298.283,5905982.094,3754295.847,3670925.621,2559540,6699309.976,2751646.412,3227772.409,3391600,499720.7003,63911.0989,12144575.38,9456710,9893834.064,300092.4145,135353.7599,436065.7602,6577603.449,1041064.307,851330,999250,85196.07855,9358076.151,158449.4849,2359320.487,1129648.624,715231.8956,707530,9199713.583,5566934.803,..,11859670,80815.43446,1760,11469743.97,246736.4139,108440.1408,846530,846530,444820.2914,444620.4597,444820.2914,6840600.792
1996,1180,1940,76120,..,450,15440,280,122550,2580,..,300810,64900,27190,2070,14150,16830,1060,58650,119450,360,970,..,200,8290,4190,2920,262410,..,4830,55300,630,210,140,1530,4760,461700,..,170,450,..,44900,3070510,58650,80,2270,3170,4530,4050,15260,25200,..,6210,126740,73340,300,80,12730,24000,98940,4390,1190,870,17200,460,2870,..,770,62570,367900,..,5810,220,6360,904340,4090,..,82750,..,190,..,6190,1230,180,1580,1060,3900,..,58450,2270,774070,236720,279810,98880,34820,..,48730,412150,9040,1184670,13870,153390,6970,30,74010,409990,..,35630,5770,780,9010,14120,370,440,45430,210,14230,8740,..,1310,740,98640,280,0,2320,90,1230,1610,322700,120,10400,..,8690,1550,28480,1160,7310,1920,100,1960,173620,..,25410,2820,610,100230,10060,..,34600,19380,85820,200,4410,2230,3720,28060,67220,355320,48740,..,20940,124210,1601180,480,130,..,50,217650,2930,51650,240,310,38520,..,42170,15290,210,570,274110,370,230110,8360,150,340,..,150,4310,2110,63650,44010,42020,2240,3070,174710,..,1360,80,9190,17320,185340,30610,..,10,1050,346110,78530,545480,5273490,5450,99600,90,121840,35030,..,..,10800,1760,14860,340070,135518.1059,843629.0505,26600,833180,3343647.212,5985307.659,3779307.152,3705336.892,2616520,6724143.717,2659664.321,3154306.488,3488790,521671.0203,67626.86047,12517640.74,9548160,10013181.52,319461.6065,143978.4478,464100.6442,6585783.685,1110793.387,905050,1066070,91211.94834,9436464.272,152930.7413,2405322.414,1168850.767,733993.9325,726090,9283566.625,5737091.191,..,12232770,85860.11838,1830,11738900.15,265972.2966,114323.4777,888700,888700,475587.4628,475347.5684,475587.4628,6878504.538
