Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UK,2.5,2.4,2.4,2.3,2.2,2.3,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2
EU average (27 countries),2.7,2.7,2.8,2.7,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.6,2.4
EU and the UK average (28 countries),2.7,2.7,2.8,2.7,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.6,2.6,2.4
Belgium,2.3,2.4,2.5,2.5,2.4,2.3,2.3,2.4,2.5,2.6,2.5,2.5,2.5,2.6,2.7,2.7,2.7,2.6,2.5
Bulgaria,2.4,2.8,3,3,2.8,3.2,3.3,2.8,2.8,2.7,2.7,2.9,2.8,3,3,2.8,2.6,3,3
Czechia,2.3,2.3,2.4,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.1,2.1,2,2,2,1.9
Denmark,5,4.8,5,4.9,4.7,4.7,4.2,4,4,4,4,4.1,4,4,3.9,3.7,3.6,3.3,3.2
Germany,2.5,2.6,2.5,2.4,2.4,2.2,2.2,2.3,2.2,2.2,2.1,2.1,2,1.9,1.9,1.8,1.8,1.8,1.7
Estonia,2,1.9,2.1,2.3,2.2,2.2,2.3,2.9,2.9,2.7,2.7,2.6,2.7,2.7,3,2.9,2.8,3.2,2.5
Ireland,2.3,2.3,2.5,2.5,2.4,2.5,2.3,2.3,2.5,2.5,2.4,2.5,2.4,1.9,1.9,1.8,1.6,1.4,1.2
Greece,2.3,2.2,2.1,2.1,2,2.1,2.1,2.1,2.7,3,3.3,3.7,3.7,3.8,3.8,4,3.8,3.9,3.8
Spain,2,2,2,1.9,1.8,1.8,1.6,1.6,1.7,1.6,1.6,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8
France,2.1,2,2.1,2,2,1.9,1.8,1.9,1.9,1.9,2,2,2,2.2,2.2,2.3,2.4,2.3,2.2
Croatia,3.5,3.6,3.4,3.3,3.2,3.1,2.8,2.8,3,2.7,2.5,2.8,3.1,3.3,3.4,3.5,3.5,3.5,3.3
Italy,2.9,3,2.8,2.9,2.9,2.7,2.6,2.8,2.8,3,3.5,3.4,3.6,3.4,3.5,3.3,3.3,3.3,3
Cyprus,2.7,3.5,3.6,3.3,3.1,3.1,3,2.8,2.8,2.8,2.6,2.7,3.1,3,2.9,3,2.9,2.5,2.5
Latvia,2.1,2.3,2.5,2.5,2.2,2,2.1,2.6,3,3.1,3,3.2,3.3,3.5,3.6,3.5,3.4,2.9,3.1
Lithuania,2.8,2.8,2.7,2.3,1.8,1.8,1.6,2,1.8,1.7,1.6,1.7,1.7,1.9,1.9,1.9,2,1.9,1.9
Luxembourg,2.7,2.7,3,2.9,2.6,2.5,2.5,2.4,2.3,2.3,2.2,2.1,1.9,1.8,1.7,1.6,1.7,1.8,1.4
Hungary,2.7,2.6,2.8,2.7,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.5,2.5,2.4,2.3,2.3,2.2
Malta,3.2,3.1,2.8,3.1,3.2,3.5,3.2,3.1,2.8,3.1,2.8,2.6,2.7,2.7,2.6,2.5,2.5,2.5,2.3
Netherlands,3.2,3.3,3.4,3.5,3.6,3.4,3.4,3.5,3.5,3.4,3.2,3.3,3.3,3.3,3.4,3.3,3.3,3.4,3.2
Austria,2.6,2.7,2.7,2.6,2.4,2.4,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.4,2.3,2.3,2.1
Poland,2.5,2.5,2.7,2.7,2.7,2.7,2.8,2.7,2.7,2.6,2.6,2.4,2.6,2.7,2.7,2.7,2.7,2.5,2.6
Portugal,3,3,3,2.9,2.8,2.7,2.5,2.4,2.4,2.3,2.2,2.2,2.3,2.4,2.6,2.6,2.6,2.5,2.4
Romania,2.1,2.4,2.4,2,1.9,2,1.7,1.8,2.1,2,2,2.1,2.4,2.5,2.4,1.9,2,2.1,1.9
Slovenia,3.2,3.2,3.3,3.2,3,3,3,3.5,3.6,3.5,3.8,3.9,3.9,3.9,3.9,3.7,3.4,3.3,3
Slovakia,2.2,2.5,2.5,2.4,2.3,2.1,2.1,2,2.1,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4
Finland,3,3.1,3.1,3,2.9,2.7,2.6,2.5,2.7,3,3,2.9,2.9,2.9,3.1,3,2.9,2.8,2.8
Sweden,2.7,2.7,2.7,2.8,2.7,2.6,2.6,2.8,2.7,2.4,2.4,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2
,,,,,,,,,,,,,,,,,,,
Environmental taxes as a percentage of GDP,,,,,,,,,,,,,,,,,,,
