,Year,Values,Energy Source
0,1965,0.0,Geo Biomass Other - TWh (zero filled)
1,1966,0.0,Geo Biomass Other - TWh (zero filled)
2,1967,0.0,Geo Biomass Other - TWh (zero filled)
3,1968,0.0,Geo Biomass Other - TWh (zero filled)
4,1969,0.0,Geo Biomass Other - TWh (zero filled)
5,1970,0.0,Geo Biomass Other - TWh (zero filled)
6,1971,0.0,Geo Biomass Other - TWh (zero filled)
7,1972,0.0,Geo Biomass Other - TWh (zero filled)
8,1973,0.0,Geo Biomass Other - TWh (zero filled)
9,1974,0.0,Geo Biomass Other - TWh (zero filled)
10,1975,0.0,Geo Biomass Other - TWh (zero filled)
11,1976,0.0,Geo Biomass Other - TWh (zero filled)
12,1977,0.0,Geo Biomass Other - TWh (zero filled)
13,1978,0.0,Geo Biomass Other - TWh (zero filled)
14,1979,0.0,Geo Biomass Other - TWh (zero filled)
15,1980,0.0,Geo Biomass Other - TWh (zero filled)
16,1981,0.0,Geo Biomass Other - TWh (zero filled)
17,1982,0.0,Geo Biomass Other - TWh (zero filled)
18,1983,0.0,Geo Biomass Other - TWh (zero filled)
19,1984,0.0,Geo Biomass Other - TWh (zero filled)
20,1985,0.0,Geo Biomass Other - TWh (zero filled)
21,1986,0.0,Geo Biomass Other - TWh (zero filled)
22,1987,0.0,Geo Biomass Other - TWh (zero filled)
23,1988,0.0,Geo Biomass Other - TWh (zero filled)
24,1989,0.0,Geo Biomass Other - TWh (zero filled)
25,1990,0.5958,Geo Biomass Other - TWh (zero filled)
26,1991,0.6879,Geo Biomass Other - TWh (zero filled)
27,1992,0.9342,Geo Biomass Other - TWh (zero filled)
28,1993,1.198,Geo Biomass Other - TWh (zero filled)
29,1994,1.5185,Geo Biomass Other - TWh (zero filled)
30,1995,1.6416,Geo Biomass Other - TWh (zero filled)
31,1996,1.8046,Geo Biomass Other - TWh (zero filled)
32,1997,2.1098,Geo Biomass Other - TWh (zero filled)
33,1998,2.6542,Geo Biomass Other - TWh (zero filled)
34,1999,3.4291,Geo Biomass Other - TWh (zero filled)
35,2000,3.8818,Geo Biomass Other - TWh (zero filled)
36,2001,4.526,Geo Biomass Other - TWh (zero filled)
37,2002,5.0801,Geo Biomass Other - TWh (zero filled)
38,2003,6.1737,Geo Biomass Other - TWh (zero filled)
39,2004,7.3639,Geo Biomass Other - TWh (zero filled)
40,2005,9.1023,Geo Biomass Other - TWh (zero filled)
41,2006,9.2769,Geo Biomass Other - TWh (zero filled)
42,2007,9.324501,Geo Biomass Other - TWh (zero filled)
43,2008,9.649278,Geo Biomass Other - TWh (zero filled)
44,2009,10.714948,Geo Biomass Other - TWh (zero filled)
45,2010,12.262968,Geo Biomass Other - TWh (zero filled)
46,2011,13.313794,Geo Biomass Other - TWh (zero filled)
47,2012,14.737997,Geo Biomass Other - TWh (zero filled)
48,2013,18.10489,Geo Biomass Other - TWh (zero filled)
49,2014,22.621246,Geo Biomass Other - TWh (zero filled)
50,2015,29.258976,Geo Biomass Other - TWh (zero filled)
51,2016,30.065535,Geo Biomass Other - TWh (zero filled)
52,2017,31.898373,Geo Biomass Other - TWh (zero filled)
53,2018,34.97612,Geo Biomass Other - TWh (zero filled)
54,2019,37.31942,Geo Biomass Other - TWh (zero filled)
55,2020,39.32228,Geo Biomass Other - TWh (zero filled)
56,2021,40.007,Geo Biomass Other - TWh (zero filled)
0,1965,0.0,Biofuels Consumption - TWh - Total (zero filled)
1,1966,0.0,Biofuels Consumption - TWh - Total (zero filled)
2,1967,0.0,Biofuels Consumption - TWh - Total (zero filled)
3,1968,0.0,Biofuels Consumption - TWh - Total (zero filled)
4,1969,0.0,Biofuels Consumption - TWh - Total (zero filled)
5,1970,0.0,Biofuels Consumption - TWh - Total (zero filled)
6,1971,0.0,Biofuels Consumption - TWh - Total (zero filled)
7,1972,0.0,Biofuels Consumption - TWh - Total (zero filled)
8,1973,0.0,Biofuels Consumption - TWh - Total (zero filled)
9,1974,0.0,Biofuels Consumption - TWh - Total (zero filled)
10,1975,0.0,Biofuels Consumption - TWh - Total (zero filled)
11,1976,0.0,Biofuels Consumption - TWh - Total (zero filled)
12,1977,0.0,Biofuels Consumption - TWh - Total (zero filled)
13,1978,0.0,Biofuels Consumption - TWh - Total (zero filled)
14,1979,0.0,Biofuels Consumption - TWh - Total (zero filled)
15,1980,0.0,Biofuels Consumption - TWh - Total (zero filled)
16,1981,0.0,Biofuels Consumption - TWh - Total (zero filled)
17,1982,0.0,Biofuels Consumption - TWh - Total (zero filled)
18,1983,0.0,Biofuels Consumption - TWh - Total (zero filled)
19,1984,0.0,Biofuels Consumption - TWh - Total (zero filled)
20,1985,0.0,Biofuels Consumption - TWh - Total (zero filled)
21,1986,0.0,Biofuels Consumption - TWh - Total (zero filled)
22,1987,0.0,Biofuels Consumption - TWh - Total (zero filled)
23,1988,0.0,Biofuels Consumption - TWh - Total (zero filled)
24,1989,0.0,Biofuels Consumption - TWh - Total (zero filled)
25,1990,0.0,Biofuels Consumption - TWh - Total (zero filled)
26,1991,0.0,Biofuels Consumption - TWh - Total (zero filled)
27,1992,0.0,Biofuels Consumption - TWh - Total (zero filled)
28,1993,0.0,Biofuels Consumption - TWh - Total (zero filled)
29,1994,0.0,Biofuels Consumption - TWh - Total (zero filled)
30,1995,0.0,Biofuels Consumption - TWh - Total (zero filled)
31,1996,0.0,Biofuels Consumption - TWh - Total (zero filled)
32,1997,0.0,Biofuels Consumption - TWh - Total (zero filled)
33,1998,0.0,Biofuels Consumption - TWh - Total (zero filled)
34,1999,0.0,Biofuels Consumption - TWh - Total (zero filled)
35,2000,0.0,Biofuels Consumption - TWh - Total (zero filled)
36,2001,0.0,Biofuels Consumption - TWh - Total (zero filled)
37,2002,0.01808831,Biofuels Consumption - TWh - Total (zero filled)
38,2003,0.18992725,Biofuels Consumption - TWh - Total (zero filled)
39,2004,0.17183894,Biofuels Consumption - TWh - Total (zero filled)
40,2005,0.81012297,Biofuels Consumption - TWh - Total (zero filled)
41,2006,2.0632083,Biofuels Consumption - TWh - Total (zero filled)
42,2007,4.025941,Biofuels Consumption - TWh - Total (zero filled)
43,2008,9.239789,Biofuels Consumption - TWh - Total (zero filled)
44,2009,11.452971,Biofuels Consumption - TWh - Total (zero filled)
45,2010,13.315996,Biofuels Consumption - TWh - Total (zero filled)
46,2011,12.327398,Biofuels Consumption - TWh - Total (zero filled)
47,2012,10.365144,Biofuels Consumption - TWh - Total (zero filled)
48,2013,11.847746,Biofuels Consumption - TWh - Total (zero filled)
49,2014,13.535254,Biofuels Consumption - TWh - Total (zero filled)
50,2015,10.818648,Biofuels Consumption - TWh - Total (zero filled)
51,2016,10.962702,Biofuels Consumption - TWh - Total (zero filled)
52,2017,10.826572,Biofuels Consumption - TWh - Total (zero filled)
53,2018,14.916917,Biofuels Consumption - TWh - Total (zero filled)
54,2019,19.070885,Biofuels Consumption - TWh - Total (zero filled)
55,2020,18.022387,Biofuels Consumption - TWh - Total (zero filled)
56,2021,15.995362,Biofuels Consumption - TWh - Total (zero filled)
0,1965,0.0,Solar Consumption - TWh (zero filled)
1,1966,0.0,Solar Consumption - TWh (zero filled)
2,1967,0.0,Solar Consumption - TWh (zero filled)
3,1968,0.0,Solar Consumption - TWh (zero filled)
4,1969,0.0,Solar Consumption - TWh (zero filled)
5,1970,0.0,Solar Consumption - TWh (zero filled)
6,1971,0.0,Solar Consumption - TWh (zero filled)
7,1972,0.0,Solar Consumption - TWh (zero filled)
8,1973,0.0,Solar Consumption - TWh (zero filled)
9,1974,0.0,Solar Consumption - TWh (zero filled)
10,1975,0.0,Solar Consumption - TWh (zero filled)
11,1976,0.0,Solar Consumption - TWh (zero filled)
12,1977,0.0,Solar Consumption - TWh (zero filled)
13,1978,0.0,Solar Consumption - TWh (zero filled)
14,1979,0.0,Solar Consumption - TWh (zero filled)
15,1980,0.0,Solar Consumption - TWh (zero filled)
16,1981,0.0,Solar Consumption - TWh (zero filled)
17,1982,0.0,Solar Consumption - TWh (zero filled)
18,1983,0.0,Solar Consumption - TWh (zero filled)
19,1984,0.003,Solar Consumption - TWh (zero filled)
20,1985,0.003,Solar Consumption - TWh (zero filled)
21,1986,0.003,Solar Consumption - TWh (zero filled)
22,1987,0.0,Solar Consumption - TWh (zero filled)
23,1988,0.003,Solar Consumption - TWh (zero filled)
24,1989,0.0,Solar Consumption - TWh (zero filled)
25,1990,0.0,Solar Consumption - TWh (zero filled)
26,1991,0.0,Solar Consumption - TWh (zero filled)
27,1992,0.0,Solar Consumption - TWh (zero filled)
28,1993,0.0,Solar Consumption - TWh (zero filled)
29,1994,0.0,Solar Consumption - TWh (zero filled)
30,1995,0.0,Solar Consumption - TWh (zero filled)
31,1996,0.0,Solar Consumption - TWh (zero filled)
32,1997,0.0,Solar Consumption - TWh (zero filled)
33,1998,0.0,Solar Consumption - TWh (zero filled)
34,1999,0.002944445,Solar Consumption - TWh (zero filled)
35,2000,0.002944445,Solar Consumption - TWh (zero filled)
36,2001,0.005888889,Solar Consumption - TWh (zero filled)
37,2002,0.00875,Solar Consumption - TWh (zero filled)
38,2003,0.008694445,Solar Consumption - TWh (zero filled)
39,2004,0.011527778,Solar Consumption - TWh (zero filled)
40,2005,0.022916667,Solar Consumption - TWh (zero filled)
41,2006,0.031299446,Solar Consumption - TWh (zero filled)
42,2007,0.039586667,Solar Consumption - TWh (zero filled)
43,2008,0.04777111,Solar Consumption - TWh (zero filled)
44,2009,0.055854723,Solar Consumption - TWh (zero filled)
45,2010,0.11179222,Solar Consumption - TWh (zero filled)
46,2011,0.67218333,Solar Consumption - TWh (zero filled)
47,2012,3.7119324,Solar Consumption - TWh (zero filled)
48,2013,5.478804,Solar Consumption - TWh (zero filled)
49,2014,10.982852,Solar Consumption - TWh (zero filled)
50,2015,20.285795,Solar Consumption - TWh (zero filled)
51,2016,27.862415,Solar Consumption - TWh (zero filled)
52,2017,30.539515,Solar Consumption - TWh (zero filled)
