,Year,Values,Energy Source
0,1985,59.43292,Coal (% electricity)
1,1986,66.88156,Coal (% electricity)
2,1987,69.48549,Coal (% electricity)
3,1988,65.85412,Coal (% electricity)
4,1989,63.556118,Coal (% electricity)
5,1990,64.4071,Coal (% electricity)
6,1991,65.20508,Coal (% electricity)
7,1992,60.318157,Coal (% electricity)
8,1993,52.7808,Coal (% electricity)
9,1994,49.236973,Coal (% electricity)
10,1995,46.27045,Coal (% electricity)
11,1996,41.572197,Coal (% electricity)
12,1997,34.28506,Coal (% electricity)
13,1998,34.056168,Coal (% electricity)
14,1999,29.0705,Coal (% electricity)
15,2000,32.03964,Coal (% electricity)
16,2001,34.380314,Coal (% electricity)
17,2002,32.31409,Coal (% electricity)
18,2003,34.97193,Coal (% electricity)
19,2004,33.680897,Coal (% electricity)
20,2005,34.04987,Coal (% electricity)
21,2006,37.832962,Coal (% electricity)
22,2007,34.594635,Coal (% electricity)
23,2008,32.319927,Coal (% electricity)
24,2009,27.618742,Coal (% electricity)
25,2010,28.394606,Coal (% electricity)
26,2011,29.704706,Coal (% electricity)
27,2012,39.566067,Coal (% electricity)
28,2013,36.65372,Coal (% electricity)
29,2014,29.903643,Coal (% electricity)
30,2015,22.627779,Coal (% electricity)
31,2016,9.120376,Coal (% electricity)
32,2017,6.7233663,Coal (% electricity)
33,2018,5.092284,Coal (% electricity)
34,2019,2.1420798,Coal (% electricity)
35,2020,1.7373198,Coal (% electricity)
36,2021,1.9273343,Coal (% electricity)
0,1985,0.97152185,Gas (% electricity)
1,1986,0.5789332,Gas (% electricity)
2,1987,1.500106,Gas (% electricity)
3,1988,1.5471544,Gas (% electricity)
4,1989,1.5731838,Gas (% electricity)
5,1990,1.5735146,Gas (% electricity)
6,1991,1.8111658,Gas (% electricity)
7,1992,3.939375,Gas (% electricity)
8,1993,10.5822735,Gas (% electricity)
9,1994,16.386684,Gas (% electricity)
10,1995,19.171078,Gas (% electricity)
11,1996,24.072483,Gas (% electricity)
12,1997,31.776396,Gas (% electricity)
13,1998,32.62435,Gas (% electricity)
14,1999,39.123886,Gas (% electricity)
15,2000,39.553394,Gas (% electricity)
16,2001,37.11065,Gas (% electricity)
17,2002,39.594383,Gas (% electricity)
18,2003,37.647297,Gas (% electricity)
19,2004,40.141586,Gas (% electricity)
20,2005,38.60199,Gas (% electricity)
21,2006,35.79453,Gas (% electricity)
22,2007,42.187897,Gas (% electricity)
23,2008,45.79046,Gas (% electricity)
24,2009,44.628498,Gas (% electricity)
25,2010,46.356655,Gas (% electricity)
26,2011,40.13039,Gas (% electricity)
27,2012,27.756378,Gas (% electricity)
28,2013,26.968315,Gas (% electricity)
29,2014,30.097551,Gas (% electricity)
30,2015,29.784697,Gas (% electricity)
31,2016,42.63114,Gas (% electricity)
32,2017,40.808712,Gas (% electricity)
33,2018,39.785175,Gas (% electricity)
34,2019,40.596924,Gas (% electricity)
35,2020,36.184402,Gas (% electricity)
36,2021,40.2331,Gas (% electricity)
0,1985,1.3265166,Hydro (% electricity)
1,1986,1.5837792,Hydro (% electricity)
2,1987,1.3858436,Hydro (% electricity)
3,1988,1.5816724,Hydro (% electricity)
4,1989,1.515743,Hydro (% electricity)
5,1990,1.6396022,Hydro (% electricity)
6,1991,1.4377295,Hydro (% electricity)
7,1992,1.7003821,Hydro (% electricity)
8,1993,1.3367738,Hydro (% electricity)
9,1994,1.5660576,Hydro (% electricity)
10,1995,1.4557266,Hydro (% electricity)
11,1996,0.97045684,Hydro (% electricity)
12,1997,1.1941923,Hydro (% electricity)
13,1998,1.4179684,Hydro (% electricity)
14,1999,1.4620123,Hydro (% electricity)
15,2000,1.3595811,Hydro (% electricity)
16,2001,1.0617988,Hydro (% electricity)
17,2002,1.2454498,Hydro (% electricity)
18,2003,0.8167704,Hydro (% electricity)
19,2004,1.2369342,Hydro (% electricity)
20,2005,1.2442466,Hydro (% electricity)
21,2006,1.1666328,Hydro (% electricity)
22,2007,1.2926866,Hydro (% electricity)
23,2008,1.33562,Hydro (% electricity)
24,2009,1.4018441,Hydro (% electricity)
25,2010,0.9474545,Hydro (% electricity)
26,2011,1.5586479,Hydro (% electricity)
27,2012,1.4713624,Hydro (% electricity)
28,2013,1.3225279,Hydro (% electricity)
29,2014,1.7571075,Hydro (% electricity)
30,2015,1.8786904,Hydro (% electricity)
31,2016,1.5968835,Hydro (% electricity)
32,2017,1.7547001,Hydro (% electricity)
33,2018,1.645991,Hydro (% electricity)
34,2019,1.8436189,Hydro (% electricity)
35,2020,2.1732764,Hydro (% electricity)
36,2021,1.8198984,Hydro (% electricity)
