,Year,Energy Source,Values
0,1800,"Other renewables (TWh, substituted energy)",0.0
1,1810,"Other renewables (TWh, substituted energy)",0.0
2,1820,"Other renewables (TWh, substituted energy)",0.0
3,1830,"Other renewables (TWh, substituted energy)",0.0
4,1840,"Other renewables (TWh, substituted energy)",0.0
5,1850,"Other renewables (TWh, substituted energy)",0.0
6,1860,"Other renewables (TWh, substituted energy)",0.0
7,1870,"Other renewables (TWh, substituted energy)",0.0
8,1880,"Other renewables (TWh, substituted energy)",0.0
9,1890,"Other renewables (TWh, substituted energy)",0.0
10,1900,"Other renewables (TWh, substituted energy)",0.0
11,1910,"Other renewables (TWh, substituted energy)",0.0
12,1920,"Other renewables (TWh, substituted energy)",0.0
13,1930,"Other renewables (TWh, substituted energy)",0.0
14,1940,"Other renewables (TWh, substituted energy)",0.0
15,1950,"Other renewables (TWh, substituted energy)",0.0
16,1960,"Other renewables (TWh, substituted energy)",0.0
17,1965,"Other renewables (TWh, substituted energy)",55.9490852355957
18,1966,"Other renewables (TWh, substituted energy)",61.737606048583984
19,1967,"Other renewables (TWh, substituted energy)",62.35337448120117
20,1968,"Other renewables (TWh, substituted energy)",69.03191375732422
21,1969,"Other renewables (TWh, substituted energy)",72.5587158203125
22,1970,"Other renewables (TWh, substituted energy)",80.33794403076172
23,1971,"Other renewables (TWh, substituted energy)",87.33906555175781
24,1972,"Other renewables (TWh, substituted energy)",93.40202331542967
25,1973,"Other renewables (TWh, substituted energy)",100.24630737304688
26,1974,"Other renewables (TWh, substituted energy)",106.87296295166016
27,1975,"Other renewables (TWh, substituted energy)",108.14720153808594
28,1976,"Other renewables (TWh, substituted energy)",120.57106018066406
29,1977,"Other renewables (TWh, substituted energy)",127.26663208007812
30,1978,"Other renewables (TWh, substituted energy)",135.02682495117188
31,1979,"Other renewables (TWh, substituted energy)",144.51551818847656
32,1980,"Other renewables (TWh, substituted energy)",153.78857421875
33,1981,"Other renewables (TWh, substituted energy)",164.90757751464844
34,1982,"Other renewables (TWh, substituted energy)",191.2328948974609
35,1983,"Other renewables (TWh, substituted energy)",211.7705841064453
36,1984,"Other renewables (TWh, substituted energy)",236.32064819335935
37,1985,"Other renewables (TWh, substituted energy)",244.355224609375
38,1986,"Other renewables (TWh, substituted energy)",265.20489501953125
39,1987,"Other renewables (TWh, substituted energy)",283.8797607421875
40,1988,"Other renewables (TWh, substituted energy)",292.2910461425781
41,1989,"Other renewables (TWh, substituted energy)",321.91949462890625
42,1990,"Other renewables (TWh, substituted energy)",361.1251525878906
43,1991,"Other renewables (TWh, substituted energy)",376.7493896484375
44,1992,"Other renewables (TWh, substituted energy)",404.7410278320313
45,1993,"Other renewables (TWh, substituted energy)",418.3900146484375
46,1994,"Other renewables (TWh, substituted energy)",434.5735778808594
47,1995,"Other renewables (TWh, substituted energy)",454.2080383300781
48,1996,"Other renewables (TWh, substituted energy)",466.2979431152344
49,1997,"Other renewables (TWh, substituted energy)",499.909912109375
50,1998,"Other renewables (TWh, substituted energy)",520.4947509765625
51,1999,"Other renewables (TWh, substituted energy)",546.0943603515625
52,2000,"Other renewables (TWh, substituted energy)",571.1834716796875
53,2001,"Other renewables (TWh, substituted energy)",593.175048828125
54,2002,"Other renewables (TWh, substituted energy)",638.6609497070312
55,2003,"Other renewables (TWh, substituted energy)",674.0078125
56,2004,"Other renewables (TWh, substituted energy)",728.2478637695312
57,2005,"Other renewables (TWh, substituted energy)",788.9249877929688
58,2006,"Other renewables (TWh, substituted energy)",840.5309448242188
59,2007,"Other renewables (TWh, substituted energy)",912.0394287109376
60,2008,"Other renewables (TWh, substituted energy)",975.3799438476562
61,2009,"Other renewables (TWh, substituted energy)",1047.9144287109375
62,2010,"Other renewables (TWh, substituted energy)",1180.3001708984375
63,2011,"Other renewables (TWh, substituted energy)",1247.5972900390625
64,2012,"Other renewables (TWh, substituted energy)",1352.366455078125
65,2013,"Other renewables (TWh, substituted energy)",1463.134521484375
66,2014,"Other renewables (TWh, substituted energy)",1584.601318359375
67,2015,"Other renewables (TWh, substituted energy)",1711.2283935546875
68,2016,"Other renewables (TWh, substituted energy)",1737.3021240234375
69,2017,"Other renewables (TWh, substituted energy)",1850.659912109375
70,2018,"Other renewables (TWh, substituted energy)",1995.82568359375
71,2019,"Other renewables (TWh, substituted energy)",2095.157958984375
72,2020,"Other renewables (TWh, substituted energy)",2185.723876953125
73,2021,"Other renewables (TWh, substituted energy)",2373.0986328125
