,Type,GHG emissions covered [MtCO2e],Year of implementation,Value [billion US$],Proportion of global GHG emissions covered,Value 1,Value 2
0,ETS,140.36,2007,6.365888747,0.27,-0.050538374181678586,0.7482888868096143
1,Carbon tax,0.0,2017,1.070971867,0.00,-0.42852452635093835,-0.4852627444870652
2,Carbon tax,79.46122723,2018,0.001622049,0.16,-0.2773233022542831,-0.6344601670579766
3,ETS,0.0,2012,0.0,0.00,-0.49619899973932236,0.0872743539880935
4,ETS,34.41238328,2022,0.0,0.07,-0.34613612859181075,-1.0972350568582074
5,ETS,0.0,2016,0.0,0.00,-0.4665283890103774,-0.38392414922046153
6,Carbon tax,46.41,2008,1.562100384,0.09,-0.3813495177761626,0.5739080202607355
8,ETS,31.888584,2013,0.228478644,0.06,-0.41462632026897567,-0.0328177630970077
12,ETS,309.468,2012,9.47715,0.60,0.44058589047669905,0.17576955097712765
13,ETS,53.34974168,2019,2.131943002,0.10,-0.27045389744560194,-0.7142471439159818
14,Carbon tax,167.6706167,2019,3.421115729,0.33,0.017056966270810138,-0.715948598262609
17,Carbon tax,36.93137551,2017,0.1655,0.07,-0.37577651331046846,-0.5059264469042876
18,ETS,4500.0,2021,41.39932063,8.79,10.475200134545041,-1.1710307114889789
19,ETS,67.139766,2014,0.566144556,0.13,-0.32077265036716235,-0.15201823697485925
21,Carbon tax,44.67561579,2017,0.125855396,0.09,-0.3574824867791804,-0.5082033348462469
23,Carbon tax,17.20838193,1992,0.542291292,0.03,-0.5938840542972015,2.4485827929141815
24,ETS,1626.615082,2005,136.0190418,3.18,6.852289275539271,2.7007625744990835
25,Carbon tax,1.40975991,2000,0.002775157,0.00,-0.5836085855811701,1.5007819604105193
26,Carbon tax,26.92882366,1990,1.43468775,0.05,-0.561671962995012,2.6960477795925457
27,Carbon tax,157.7754771,2014,9.06264,0.31,0.11933679824982982,-0.03837248684019266
28,ETS,125.128704,2016,0.365163238,0.24,-0.18820069282081742,-0.401303883495783
30,ETS,349.4383534,2021,9.979956,0.68,0.6091252772256045,-0.8842019134506215
31,ETS,259.2336,2013,5.817253255,0.51,0.23944027841154375,0.010645431802931149
33,ETS,63.801135,2014,1.95489715,0.12,-0.290247630516666,-0.12988849422736876
34,Carbon tax,2.723247608,2010,0.051805729,0.01,-0.5010827935217691,0.3229424944479489
37,Carbon tax,27.04608349,2010,0.585756,0.05,-0.43743713039321874,0.3269961701809753
41,Carbon tax,952.6586723,2012,2.146481178,1.86,1.6228580633522636,-0.056342033812726275
42,ETS,169.1768076,2013,0.152180309,0.33,-0.11918030075123516,-0.05953445810693457
43,ETS,553.439848,2015,11.04344594,1.08,1.0365785389372426,-0.19895768799895736
44,Carbon tax,0.376643586,2004,0.018312464,0.00,-0.5546103349341122,1.0299179453131735
45,Carbon tax,0.14610362,2008,0.002175089,0.00,-0.5256496529902894,0.5584927580500754
46,Carbon tax,6.801985106,2021,0.294838465,0.01,-0.40814143266888503,-0.9694956643226055
50,ETS,6.072,2018,0.004,0.01,-0.4394891509990392,-0.6204994225977242
51,Carbon tax,352.6073585,2014,0.314092485,0.69,0.2901049204285548,-0.20893925253788823
52,ETS,320.5521441,2020,0.0,0.63,0.25783072420016157,-0.9147449845861301
55,Carbon tax,25.96280946,2021,1.197978551,0.05,-0.3395285826350468,-0.9592894207307076
56,ETS,7.05,2021,0.28172954,0.01,-0.40824787933594237,-0.9697201195209918
57,Carbon tax,5.499,2020,0.077325767,0.01,-0.4231787353771044,-0.8549185784228753
58,ETS,41.61230129,2008,1.8154728,0.08,-0.3848264222948407,0.5787218893908931
60,ETS,4.5881,2019,0.183347986,0.01,-0.4285525295658703,-0.7354050135647332
61,Carbon tax,5.0149,2019,0.073116109,0.01,-0.431239595172157,-0.7371388233212327
63,Carbon tax,1.3351,2019,0.02089019,0.00,-0.4422364883901221,-0.7371255842550947
64,Carbon tax,44.73403107,1991,1.714514469,0.09,-0.5049073536907712,2.5789995023253534
65,ETS,14.025,2019,0.315978261,0.03,-0.403509840867466,-0.7351907627983669
66,ETS,0.0,2017,0.0,0.00,-0.45911073632814114,-0.5017237750226002
67,ETS,41.125,2022,1.314737852,0.08,-0.2958063664379599,-1.0781241292263373
68,ETS,27.09,2021,0.0,0.05,-0.37252429011378213,-0.9778069559967937
71,Carbon tax,15.93618198,1990,0.001110362,0.03,-0.6255494909981797,2.6759818145668017
72,Carbon tax,25.03861083,2015,0.525885138,0.05,-0.4042274470392359,-0.2627362727201325
73,Carbon tax,0.9688,2019,0.013773078,0.00,-0.4428354688361366,-0.737201052505445
74,ETS,60.918,2013,1.665057545,0.12,-0.3090576045294162,-0.016276748235375865
75,ETS,67.342,2009,1.22232,0.13,-0.33890252335550963,0.4470466979317846
76,ETS,8.16,2011,0.127804419,0.02,-0.4800912455754786,0.2053323099904052
78,ETS,10.231,2019,0.408847506,0.02,-0.4104862897228646,-0.7329368088600084
81,ETS,78.482705,2013,1.4657514,0.15,-0.2791841688708243,-0.022392310640183488
83,ETS,13.1718,2013,0.020179279,0.03,-0.45738529748883683,-0.03286047677559346
84,Carbon tax,56.41688507,2019,0.141006929,0.11,-0.3184701507950222,-0.7456074127536378
85,Carbon tax,10.64899126,1996,0.081728039,0.02,-0.5899830416500661,1.971387989278658
86,Carbon tax,459.1671443,2019,0.119524906,0.90,0.5528850076813707,-0.820775088083316
87,Carbon tax,6.231775,2014,0.121572,0.01,-0.4656293794662306,-0.14750861333098206
88,Carbon tax,25.83529432,1991,2.4347209,0.05,-0.5268754206853348,2.593720115218733
89,ETS,5.059056761,2008,0.28901093,0.01,-0.506620265714747,0.5619713134376865
90,Carbon tax,15.74989369,2008,1.268261011,0.03,-0.45604405417465615,0.5750821360442193
95,ETS,53.056773,2013,0.72655218,0.10,-0.35541329525941623,-0.02902336739424088
96,ETS,13.26,2010,0.053469722,0.03,-0.4785922195923265,0.3210419125350717
98,Carbon tax,97.38434524,2013,0.904572539,0.19,-0.2526712486365646,-0.0346689100254395
99,ETS,129.8457937,2021,12.56197732,0.25,0.2078460394080712,-0.803746807012418
101,Carbon tax,197.4845544,2011,0.042386062,0.39,-0.07338986218062377,0.16890460827421658
102,Carbon tax,4.38135106,2022,0.601539394,0.01,-0.3945796711332196,-1.0823570666718991
104,ETS,64.93333333,2023,0.0,0.13,-0.2725661202671942,-1.2207122752818054
