,Entity,Year,Fossil fuels (% equivalent primary energy)
0,Africa,1965,94.25251007080078
1,Africa,1966,93.8779296875
2,Africa,1967,93.67426300048828
3,Africa,1968,92.99469757080078
4,Africa,1969,92.04390716552734
5,Africa,1970,90.83794403076172
6,Africa,1971,91.86868286132812
7,Africa,1972,91.25222778320312
8,Africa,1973,91.45772552490234
9,Africa,1974,90.73192596435548
10,Africa,1975,90.7615966796875
11,Africa,1976,90.5835952758789
12,Africa,1977,90.19670104980467
13,Africa,1978,90.48031616210938
14,Africa,1979,90.6490707397461
15,Africa,1980,91.51396942138672
16,Africa,1981,92.14049530029295
17,Africa,1982,92.62181854248048
18,Africa,1983,93.54341888427734
19,Africa,1984,93.32211303710938
20,Africa,1985,92.74526977539062
21,Africa,1986,92.20321655273438
22,Africa,1987,93.0233154296875
23,Africa,1988,92.47000122070312
24,Africa,1989,92.1068878173828
25,Africa,1990,92.51457977294922
26,Africa,1991,92.04486083984376
27,Africa,1992,92.45323944091795
28,Africa,1993,92.8037567138672
29,Africa,1994,92.70841217041016
30,Africa,1995,92.59597778320312
31,Africa,1996,92.45040130615234
32,Africa,1997,92.35285186767578
33,Africa,1998,92.07369995117188
34,Africa,1999,92.00193786621094
35,Africa,2000,91.67432403564452
36,Africa,2001,91.6755828857422
37,Africa,2002,91.38514709472656
38,Africa,2003,91.94754028320312
39,Africa,2004,92.07444763183594
40,Africa,2005,92.17848205566406
41,Africa,2006,92.16838836669922
42,Africa,2007,92.20699310302734
43,Africa,2008,92.44693756103516
44,Africa,2009,92.42403411865234
45,Africa,2010,92.08650207519533
46,Africa,2011,92.00454711914062
47,Africa,2012,92.26759338378906
48,Africa,2013,92.0242919921875
49,Africa,2014,91.7523956298828
50,Africa,2015,91.89559936523438
51,Africa,2016,91.93553924560548
52,Africa,2017,91.56649017333984
53,Africa,2018,91.27188110351562
54,Africa,2019,90.80626678466795
55,Africa,2020,89.68582916259766
56,Africa,2021,89.9537582397461
57,Africa (BP),1965,94.25251007080078
58,Africa (BP),1966,93.87793731689452
59,Africa (BP),1967,93.67426300048828
