,Year,Cost,Energy Cost
14,2000,0.1707826,Offshore wind levelized cost of energy
15,2000,0.1707826,Offshore wind levelized cost of energy
16,2000,0.1707826,Offshore wind levelized cost of energy
17,2000,0.1707826,Offshore wind levelized cost of energy
18,2000,0.1707826,Offshore wind levelized cost of energy
19,2000,0.1707826,Offshore wind levelized cost of energy
20,2000,0.1707826,Offshore wind levelized cost of energy
42,2000,0.16236141,Onshore wind levelized cost of energy
43,2000,0.16236141,Onshore wind levelized cost of energy
44,2000,0.16236141,Onshore wind levelized cost of energy
45,2000,0.16236141,Onshore wind levelized cost of energy
46,2000,0.16236141,Onshore wind levelized cost of energy
47,2000,0.16236141,Onshore wind levelized cost of energy
48,2000,0.16236141,Onshore wind levelized cost of energy
63,2001,0.16112547,Offshore wind levelized cost of energy
64,2001,0.16112547,Offshore wind levelized cost of energy
65,2001,0.16112547,Offshore wind levelized cost of energy
66,2001,0.16112547,Offshore wind levelized cost of energy
67,2001,0.16112547,Offshore wind levelized cost of energy
68,2001,0.16112547,Offshore wind levelized cost of energy
69,2001,0.16112547,Offshore wind levelized cost of energy
91,2001,0.14201893,Onshore wind levelized cost of energy
92,2001,0.14201893,Onshore wind levelized cost of energy
93,2001,0.14201893,Onshore wind levelized cost of energy
94,2001,0.14201893,Onshore wind levelized cost of energy
95,2001,0.14201893,Onshore wind levelized cost of energy
96,2001,0.14201893,Onshore wind levelized cost of energy
97,2001,0.14201893,Onshore wind levelized cost of energy
112,2002,0.13536467,Offshore wind levelized cost of energy
113,2002,0.13536467,Offshore wind levelized cost of energy
114,2002,0.13536467,Offshore wind levelized cost of energy
115,2002,0.13536467,Offshore wind levelized cost of energy
116,2002,0.13536467,Offshore wind levelized cost of energy
117,2002,0.13536467,Offshore wind levelized cost of energy
118,2002,0.13536467,Offshore wind levelized cost of energy
140,2002,0.13127674,Onshore wind levelized cost of energy
141,2002,0.13127674,Onshore wind levelized cost of energy
142,2002,0.13127674,Onshore wind levelized cost of energy
143,2002,0.13127674,Onshore wind levelized cost of energy
144,2002,0.13127674,Onshore wind levelized cost of energy
145,2002,0.13127674,Onshore wind levelized cost of energy
146,2002,0.13127674,Onshore wind levelized cost of energy
