,Year,Low-carbon electricity (TWh),Start,End
0,2005.0,5962.28,19.9,22.1
1,2006.0,6142.7,27.55,6.6
2,2007.0,6197.32,2.35,22.41
3,2008.0,6440.64,19.1,15.45
4,2009.0,6491.98,11.57,12.31
5,2010.0,6865.67,12.71,14.02
6,2011.0,6969.14,14.76,6.97
7,2012.0,7112.62,7.84,6.45
8,2013.0,7436.22,3.31,4.83
9,2014.0,7764.67,5.5,7.25
10,2015.0,8014.37,7.08,8.22
11,2016.0,8395.05,6.04,6.54
12,2017.0,8798.23,5.69,8.6
13,2018.0,9270.23,9.85,27.06
14,2019.0,9712.74,23.9,25.18
15,2020.0,10099.11,24.31,32.94
16,2021.0,10594.06,33.18,80.65
