,Year,Hydropower,Onshore wind energy,Offshore wind energy,Solar photovoltaic,Concentrated solar power,Bioenergy,Geothermal,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy,log_solar-cost,log_solar
0,2010,1025434.392,177810.947,3055.35,40337.81,1265.82,65593.861,10235.165,0.07818927,0.05044529,0.18785676,0.41714868,0.3580038,0.038882706,0.102061465,1.5176281371131937,10.605044521487178
1,2011,1056907.82,216344.815,3775.81,72215.973,1704.52,71832.048,10375.965,0.056684334,,0.19754878,0.31129825,0.34665465,0.03656066,0.09648669,1.3651963302785057,11.187416533099556
2,2012,1090156.228,261582.869,5333.95,101746.325,2566.52,76918.652,10748.065,0.06187914,0.08569454,0.16660058,0.23263325,0.3375742,0.038037654,0.08839028,1.2619185858080058,11.530237984716456
3,2013,1137117.021,292667.092,7171.25,137227.964,3941.933,84412.695,10988.865,0.08219819,0.06411118,0.16666164,0.1794014,0.24888833,0.042512473,0.08920628,1.1965009232600892,11.829398792747584
4,2014,1175547.927,340814.044,8491.77,175617.173,4598.933,90484.375,11429.415,0.08237512,0.06533503,0.17219925,0.16125813,0.21637706,0.042456634,0.080203146,1.174988229383513,12.076061751528986
5,2015,1210201.798,404451.601,11717.57,223203.629,4850.043,96257.066,12091.425,0.07277113,0.05884901,0.14052741,0.12107989,0.223889,0.036572017,0.068961546,1.1287150818133636,12.31583976831769
6,2016,1245460.4,452524.173,14341.85,295228.957,4970.043,105209.275,12411.334,0.071178205,0.06780182,0.11632308,0.106340416,0.24726917,0.04838911,0.06385536,1.112200422890411,12.595506459716097
7,2017,1270469.91,495359.5,18836.75,390203.6141,5069.113,110811.03,13030.773,0.07107003,0.07091718,0.10615218,0.083659746,0.20621318,0.05072171,0.05995916,1.0872588866789648,12.874423969301498
8,2018,1293203.746,540726.356,23589.6,482990.3126,5810.934,117993.89,13477.021,0.055360332,0.06758344,0.10004871,0.07113868,0.14910279,0.039836742,0.05087996,1.0737301204368717,13.087751875704793
9,2019,1311570.859,592780.904,28302.3,584623.1626,6376.884,123812.523,14095.061,0.06393309,0.067305215,0.08638764,0.062119152,0.21183106,0.041408572,0.044592004,1.0640891255222753,13.278722752153888
10,2020,1335495.792,697265.503,34357.65,710700.2416,6510.684,132870.774,14437.561,0.07247308,0.054264043,0.08626575,0.055443965,0.10665299,0.045965873,0.03713682,1.057009785869577,13.474006018761461
11,2021,1360502.05,769227.387,54256.98,848404.5486,6390.554,143194.631,15959.561,0.067342535,0.06761599,0.07516697,0.04834554,0.11424175,0.04829987,0.033123367,1.0495332483943083,13.65111286304443
