,Year,Cost,Energy Cost,Capacity,Energy Source
0,2000,,Bioenergy levelized cost of energy,782136.5899,Hydropower
1,2000,,Bioenergy levelized cost of energy,16865.733,Onshore wind energy
2,2000,,Bioenergy levelized cost of energy,66.75,Offshore wind energy
3,2000,,Bioenergy levelized cost of energy,808.669,Solar photovoltaic
4,2000,,Bioenergy levelized cost of energy,419.0,Concentrated solar power
5,2000,,Bioenergy levelized cost of energy,29158.698,Bioenergy
6,2000,,Bioenergy levelized cost of energy,8235.95,Geothermal
7,2000,,Geothermal levelized cost of energy,782136.5899,Hydropower
8,2000,,Geothermal levelized cost of energy,16865.733,Onshore wind energy
9,2000,,Geothermal levelized cost of energy,66.75,Offshore wind energy
10,2000,,Geothermal levelized cost of energy,808.669,Solar photovoltaic
11,2000,,Geothermal levelized cost of energy,419.0,Concentrated solar power
12,2000,,Geothermal levelized cost of energy,29158.698,Bioenergy
13,2000,,Geothermal levelized cost of energy,8235.95,Geothermal
14,2000,0.1707826,Offshore wind levelized cost of energy,782136.5899,Hydropower
15,2000,0.1707826,Offshore wind levelized cost of energy,16865.733,Onshore wind energy
16,2000,0.1707826,Offshore wind levelized cost of energy,66.75,Offshore wind energy
17,2000,0.1707826,Offshore wind levelized cost of energy,808.669,Solar photovoltaic
18,2000,0.1707826,Offshore wind levelized cost of energy,419.0,Concentrated solar power
19,2000,0.1707826,Offshore wind levelized cost of energy,29158.698,Bioenergy
20,2000,0.1707826,Offshore wind levelized cost of energy,8235.95,Geothermal
21,2000,,Solar photovoltaic levelized cost of energy,782136.5899,Hydropower
22,2000,,Solar photovoltaic levelized cost of energy,16865.733,Onshore wind energy
23,2000,,Solar photovoltaic levelized cost of energy,66.75,Offshore wind energy
24,2000,,Solar photovoltaic levelized cost of energy,808.669,Solar photovoltaic
25,2000,,Solar photovoltaic levelized cost of energy,419.0,Concentrated solar power
26,2000,,Solar photovoltaic levelized cost of energy,29158.698,Bioenergy
27,2000,,Solar photovoltaic levelized cost of energy,8235.95,Geothermal
28,2000,,Concentrated solar power levelized cost of energy,782136.5899,Hydropower
29,2000,,Concentrated solar power levelized cost of energy,16865.733,Onshore wind energy
30,2000,,Concentrated solar power levelized cost of energy,66.75,Offshore wind energy
31,2000,,Concentrated solar power levelized cost of energy,808.669,Solar photovoltaic
32,2000,,Concentrated solar power levelized cost of energy,419.0,Concentrated solar power
33,2000,,Concentrated solar power levelized cost of energy,29158.698,Bioenergy
34,2000,,Concentrated solar power levelized cost of energy,8235.95,Geothermal
35,2000,,Hydropower levelized cost of energy,782136.5899,Hydropower
36,2000,,Hydropower levelized cost of energy,16865.733,Onshore wind energy
37,2000,,Hydropower levelized cost of energy,66.75,Offshore wind energy
38,2000,,Hydropower levelized cost of energy,808.669,Solar photovoltaic
39,2000,,Hydropower levelized cost of energy,419.0,Concentrated solar power
