,Year,Cost,Energy Cost,Capacity,Energy Source
490,2010,0.07818927,Bioenergy,1025434.392,Hydropower
491,2010,0.07818927,Bioenergy,177810.947,Onshore wind energy
492,2010,0.07818927,Bioenergy,3055.35,Offshore wind energy
493,2010,0.07818927,Bioenergy,40337.81,Solar photovoltaic
494,2010,0.07818927,Bioenergy,1265.82,Concentrated solar power
495,2010,0.07818927,Bioenergy,65593.861,Bioenergy
496,2010,0.07818927,Bioenergy,10235.165,Geothermal
497,2010,0.05044529,Geothermal,1025434.392,Hydropower
498,2010,0.05044529,Geothermal,177810.947,Onshore wind energy
499,2010,0.05044529,Geothermal,3055.35,Offshore wind energy
500,2010,0.05044529,Geothermal,40337.81,Solar photovoltaic
501,2010,0.05044529,Geothermal,1265.82,Concentrated solar power
502,2010,0.05044529,Geothermal,65593.861,Bioenergy
503,2010,0.05044529,Geothermal,10235.165,Geothermal
504,2010,0.18785676,Offshore wind,1025434.392,Hydropower
505,2010,0.18785676,Offshore wind,177810.947,Onshore wind energy
506,2010,0.18785676,Offshore wind,3055.35,Offshore wind energy
507,2010,0.18785676,Offshore wind,40337.81,Solar photovoltaic
508,2010,0.18785676,Offshore wind,1265.82,Concentrated solar power
509,2010,0.18785676,Offshore wind,65593.861,Bioenergy
510,2010,0.18785676,Offshore wind,10235.165,Geothermal
511,2010,0.41714868,Solar photovoltaic,1025434.392,Hydropower
512,2010,0.41714868,Solar photovoltaic,177810.947,Onshore wind energy
513,2010,0.41714868,Solar photovoltaic,3055.35,Offshore wind energy
514,2010,0.41714868,Solar photovoltaic,40337.81,Solar photovoltaic
515,2010,0.41714868,Solar photovoltaic,1265.82,Concentrated solar power
516,2010,0.41714868,Solar photovoltaic,65593.861,Bioenergy
517,2010,0.41714868,Solar photovoltaic,10235.165,Geothermal
518,2010,0.3580038,Concentrated solar power,1025434.392,Hydropower
519,2010,0.3580038,Concentrated solar power,177810.947,Onshore wind energy
520,2010,0.3580038,Concentrated solar power,3055.35,Offshore wind energy
521,2010,0.3580038,Concentrated solar power,40337.81,Solar photovoltaic
522,2010,0.3580038,Concentrated solar power,1265.82,Concentrated solar power
523,2010,0.3580038,Concentrated solar power,65593.861,Bioenergy
524,2010,0.3580038,Concentrated solar power,10235.165,Geothermal
525,2010,0.038882706,Hydropower,1025434.392,Hydropower
526,2010,0.038882706,Hydropower,177810.947,Onshore wind energy
527,2010,0.038882706,Hydropower,3055.35,Offshore wind energy
528,2010,0.038882706,Hydropower,40337.81,Solar photovoltaic
529,2010,0.038882706,Hydropower,1265.82,Concentrated solar power
530,2010,0.038882706,Hydropower,65593.861,Bioenergy
531,2010,0.038882706,Hydropower,10235.165,Geothermal
532,2010,0.102061465,Onshore wind,1025434.392,Hydropower
533,2010,0.102061465,Onshore wind,177810.947,Onshore wind energy
534,2010,0.102061465,Onshore wind,3055.35,Offshore wind energy
535,2010,0.102061465,Onshore wind,40337.81,Solar photovoltaic
536,2010,0.102061465,Onshore wind,1265.82,Concentrated solar power
537,2010,0.102061465,Onshore wind,65593.861,Bioenergy
538,2010,0.102061465,Onshore wind,10235.165,Geothermal
539,2011,0.056684334,Bioenergy,1056907.82,Hydropower
540,2011,0.056684334,Bioenergy,216344.815,Onshore wind energy
541,2011,0.056684334,Bioenergy,3775.81,Offshore wind energy
542,2011,0.056684334,Bioenergy,72215.973,Solar photovoltaic
543,2011,0.056684334,Bioenergy,1704.52,Concentrated solar power
544,2011,0.056684334,Bioenergy,71832.048,Bioenergy
545,2011,0.056684334,Bioenergy,10375.965,Geothermal
546,2011,,Geothermal,1056907.82,Hydropower
547,2011,,Geothermal,216344.815,Onshore wind energy
548,2011,,Geothermal,3775.81,Offshore wind energy
549,2011,,Geothermal,72215.973,Solar photovoltaic
550,2011,,Geothermal,1704.52,Concentrated solar power
551,2011,,Geothermal,71832.048,Bioenergy
552,2011,,Geothermal,10375.965,Geothermal
553,2011,0.19754878,Offshore wind,1056907.82,Hydropower
554,2011,0.19754878,Offshore wind,216344.815,Onshore wind energy
555,2011,0.19754878,Offshore wind,3775.81,Offshore wind energy
556,2011,0.19754878,Offshore wind,72215.973,Solar photovoltaic
557,2011,0.19754878,Offshore wind,1704.52,Concentrated solar power
558,2011,0.19754878,Offshore wind,71832.048,Bioenergy
559,2011,0.19754878,Offshore wind,10375.965,Geothermal
560,2011,0.31129825,Solar photovoltaic,1056907.82,Hydropower
561,2011,0.31129825,Solar photovoltaic,216344.815,Onshore wind energy
562,2011,0.31129825,Solar photovoltaic,3775.81,Offshore wind energy
563,2011,0.31129825,Solar photovoltaic,72215.973,Solar photovoltaic
564,2011,0.31129825,Solar photovoltaic,1704.52,Concentrated solar power
565,2011,0.31129825,Solar photovoltaic,71832.048,Bioenergy
566,2011,0.31129825,Solar photovoltaic,10375.965,Geothermal
567,2011,0.34665465,Concentrated solar power,1056907.82,Hydropower
568,2011,0.34665465,Concentrated solar power,216344.815,Onshore wind energy
569,2011,0.34665465,Concentrated solar power,3775.81,Offshore wind energy
570,2011,0.34665465,Concentrated solar power,72215.973,Solar photovoltaic
571,2011,0.34665465,Concentrated solar power,1704.52,Concentrated solar power
572,2011,0.34665465,Concentrated solar power,71832.048,Bioenergy
573,2011,0.34665465,Concentrated solar power,10375.965,Geothermal
574,2011,0.03656066,Hydropower,1056907.82,Hydropower
575,2011,0.03656066,Hydropower,216344.815,Onshore wind energy
576,2011,0.03656066,Hydropower,3775.81,Offshore wind energy
577,2011,0.03656066,Hydropower,72215.973,Solar photovoltaic
578,2011,0.03656066,Hydropower,1704.52,Concentrated solar power
579,2011,0.03656066,Hydropower,71832.048,Bioenergy
580,2011,0.03656066,Hydropower,10375.965,Geothermal
581,2011,0.09648669,Onshore wind,1056907.82,Hydropower
582,2011,0.09648669,Onshore wind,216344.815,Onshore wind energy
583,2011,0.09648669,Onshore wind,3775.81,Offshore wind energy
584,2011,0.09648669,Onshore wind,72215.973,Solar photovoltaic
585,2011,0.09648669,Onshore wind,1704.52,Concentrated solar power
586,2011,0.09648669,Onshore wind,71832.048,Bioenergy
587,2011,0.09648669,Onshore wind,10375.965,Geothermal
588,2012,0.06187914,Bioenergy,1090156.228,Hydropower
589,2012,0.06187914,Bioenergy,261582.869,Onshore wind energy
590,2012,0.06187914,Bioenergy,5333.95,Offshore wind energy
591,2012,0.06187914,Bioenergy,101746.325,Solar photovoltaic
592,2012,0.06187914,Bioenergy,2566.52,Concentrated solar power
593,2012,0.06187914,Bioenergy,76918.652,Bioenergy
594,2012,0.06187914,Bioenergy,10748.065,Geothermal
595,2012,0.08569454,Geothermal,1090156.228,Hydropower
596,2012,0.08569454,Geothermal,261582.869,Onshore wind energy
597,2012,0.08569454,Geothermal,5333.95,Offshore wind energy
598,2012,0.08569454,Geothermal,101746.325,Solar photovoltaic
599,2012,0.08569454,Geothermal,2566.52,Concentrated solar power
600,2012,0.08569454,Geothermal,76918.652,Bioenergy
601,2012,0.08569454,Geothermal,10748.065,Geothermal
602,2012,0.16660058,Offshore wind,1090156.228,Hydropower
603,2012,0.16660058,Offshore wind,261582.869,Onshore wind energy
604,2012,0.16660058,Offshore wind,5333.95,Offshore wind energy
605,2012,0.16660058,Offshore wind,101746.325,Solar photovoltaic
606,2012,0.16660058,Offshore wind,2566.52,Concentrated solar power
607,2012,0.16660058,Offshore wind,76918.652,Bioenergy
608,2012,0.16660058,Offshore wind,10748.065,Geothermal
609,2012,0.23263325,Solar photovoltaic,1090156.228,Hydropower
610,2012,0.23263325,Solar photovoltaic,261582.869,Onshore wind energy
611,2012,0.23263325,Solar photovoltaic,5333.95,Offshore wind energy
612,2012,0.23263325,Solar photovoltaic,101746.325,Solar photovoltaic
613,2012,0.23263325,Solar photovoltaic,2566.52,Concentrated solar power
614,2012,0.23263325,Solar photovoltaic,76918.652,Bioenergy
615,2012,0.23263325,Solar photovoltaic,10748.065,Geothermal
616,2012,0.3375742,Concentrated solar power,1090156.228,Hydropower
617,2012,0.3375742,Concentrated solar power,261582.869,Onshore wind energy
618,2012,0.3375742,Concentrated solar power,5333.95,Offshore wind energy
619,2012,0.3375742,Concentrated solar power,101746.325,Solar photovoltaic
620,2012,0.3375742,Concentrated solar power,2566.52,Concentrated solar power
621,2012,0.3375742,Concentrated solar power,76918.652,Bioenergy
622,2012,0.3375742,Concentrated solar power,10748.065,Geothermal
623,2012,0.038037654,Hydropower,1090156.228,Hydropower
624,2012,0.038037654,Hydropower,261582.869,Onshore wind energy
625,2012,0.038037654,Hydropower,5333.95,Offshore wind energy
626,2012,0.038037654,Hydropower,101746.325,Solar photovoltaic
627,2012,0.038037654,Hydropower,2566.52,Concentrated solar power
628,2012,0.038037654,Hydropower,76918.652,Bioenergy
629,2012,0.038037654,Hydropower,10748.065,Geothermal
630,2012,0.08839028,Onshore wind,1090156.228,Hydropower
631,2012,0.08839028,Onshore wind,261582.869,Onshore wind energy
632,2012,0.08839028,Onshore wind,5333.95,Offshore wind energy
633,2012,0.08839028,Onshore wind,101746.325,Solar photovoltaic
634,2012,0.08839028,Onshore wind,2566.52,Concentrated solar power
635,2012,0.08839028,Onshore wind,76918.652,Bioenergy
636,2012,0.08839028,Onshore wind,10748.065,Geothermal
637,2013,0.08219819,Bioenergy,1137117.021,Hydropower
638,2013,0.08219819,Bioenergy,292667.092,Onshore wind energy
639,2013,0.08219819,Bioenergy,7171.25,Offshore wind energy
640,2013,0.08219819,Bioenergy,137227.964,Solar photovoltaic
641,2013,0.08219819,Bioenergy,3941.933,Concentrated solar power
642,2013,0.08219819,Bioenergy,84412.695,Bioenergy
643,2013,0.08219819,Bioenergy,10988.865,Geothermal
644,2013,0.06411118,Geothermal,1137117.021,Hydropower
645,2013,0.06411118,Geothermal,292667.092,Onshore wind energy
646,2013,0.06411118,Geothermal,7171.25,Offshore wind energy
647,2013,0.06411118,Geothermal,137227.964,Solar photovoltaic
648,2013,0.06411118,Geothermal,3941.933,Concentrated solar power
649,2013,0.06411118,Geothermal,84412.695,Bioenergy
650,2013,0.06411118,Geothermal,10988.865,Geothermal
651,2013,0.16666164,Offshore wind,1137117.021,Hydropower
652,2013,0.16666164,Offshore wind,292667.092,Onshore wind energy
653,2013,0.16666164,Offshore wind,7171.25,Offshore wind energy
654,2013,0.16666164,Offshore wind,137227.964,Solar photovoltaic
655,2013,0.16666164,Offshore wind,3941.933,Concentrated solar power
656,2013,0.16666164,Offshore wind,84412.695,Bioenergy
657,2013,0.16666164,Offshore wind,10988.865,Geothermal
658,2013,0.1794014,Solar photovoltaic,1137117.021,Hydropower
659,2013,0.1794014,Solar photovoltaic,292667.092,Onshore wind energy
660,2013,0.1794014,Solar photovoltaic,7171.25,Offshore wind energy
661,2013,0.1794014,Solar photovoltaic,137227.964,Solar photovoltaic
662,2013,0.1794014,Solar photovoltaic,3941.933,Concentrated solar power
663,2013,0.1794014,Solar photovoltaic,84412.695,Bioenergy
664,2013,0.1794014,Solar photovoltaic,10988.865,Geothermal
665,2013,0.24888833,Concentrated solar power,1137117.021,Hydropower
666,2013,0.24888833,Concentrated solar power,292667.092,Onshore wind energy
667,2013,0.24888833,Concentrated solar power,7171.25,Offshore wind energy
668,2013,0.24888833,Concentrated solar power,137227.964,Solar photovoltaic
669,2013,0.24888833,Concentrated solar power,3941.933,Concentrated solar power
670,2013,0.24888833,Concentrated solar power,84412.695,Bioenergy
671,2013,0.24888833,Concentrated solar power,10988.865,Geothermal
672,2013,0.042512473,Hydropower,1137117.021,Hydropower
673,2013,0.042512473,Hydropower,292667.092,Onshore wind energy
674,2013,0.042512473,Hydropower,7171.25,Offshore wind energy
675,2013,0.042512473,Hydropower,137227.964,Solar photovoltaic
676,2013,0.042512473,Hydropower,3941.933,Concentrated solar power
677,2013,0.042512473,Hydropower,84412.695,Bioenergy
678,2013,0.042512473,Hydropower,10988.865,Geothermal
679,2013,0.08920628,Onshore wind,1137117.021,Hydropower
680,2013,0.08920628,Onshore wind,292667.092,Onshore wind energy
681,2013,0.08920628,Onshore wind,7171.25,Offshore wind energy
682,2013,0.08920628,Onshore wind,137227.964,Solar photovoltaic
683,2013,0.08920628,Onshore wind,3941.933,Concentrated solar power
684,2013,0.08920628,Onshore wind,84412.695,Bioenergy
685,2013,0.08920628,Onshore wind,10988.865,Geothermal
686,2014,0.08237512,Bioenergy,1175547.927,Hydropower
687,2014,0.08237512,Bioenergy,340814.044,Onshore wind energy
688,2014,0.08237512,Bioenergy,8491.77,Offshore wind energy
689,2014,0.08237512,Bioenergy,175617.173,Solar photovoltaic
690,2014,0.08237512,Bioenergy,4598.933,Concentrated solar power
691,2014,0.08237512,Bioenergy,90484.375,Bioenergy
692,2014,0.08237512,Bioenergy,11429.415,Geothermal
693,2014,0.06533503,Geothermal,1175547.927,Hydropower
694,2014,0.06533503,Geothermal,340814.044,Onshore wind energy
695,2014,0.06533503,Geothermal,8491.77,Offshore wind energy
696,2014,0.06533503,Geothermal,175617.173,Solar photovoltaic
697,2014,0.06533503,Geothermal,4598.933,Concentrated solar power
698,2014,0.06533503,Geothermal,90484.375,Bioenergy
699,2014,0.06533503,Geothermal,11429.415,Geothermal
700,2014,0.17219925,Offshore wind,1175547.927,Hydropower
701,2014,0.17219925,Offshore wind,340814.044,Onshore wind energy
702,2014,0.17219925,Offshore wind,8491.77,Offshore wind energy
703,2014,0.17219925,Offshore wind,175617.173,Solar photovoltaic
704,2014,0.17219925,Offshore wind,4598.933,Concentrated solar power
705,2014,0.17219925,Offshore wind,90484.375,Bioenergy
706,2014,0.17219925,Offshore wind,11429.415,Geothermal
707,2014,0.16125813,Solar photovoltaic,1175547.927,Hydropower
708,2014,0.16125813,Solar photovoltaic,340814.044,Onshore wind energy
709,2014,0.16125813,Solar photovoltaic,8491.77,Offshore wind energy
710,2014,0.16125813,Solar photovoltaic,175617.173,Solar photovoltaic
