,Entity,Year,Electricity demand (TWh)
21,Afghanistan,2021,6.2
43,Africa,2021,839.32
65,Africa (Ember),2021,839.35
118,Algeria,2021,77.44
140,American Samoa,2021,0.16
162,Angola,2021,16.43
184,Antigua and Barbuda,2021,0.35
206,Argentina,2021,149.18
228,Armenia,2021,6.69
250,Aruba,2021,0.93
272,Asia,2021,15385.94
294,Asia (Ember),2021,13780.96
316,Australia,2021,247.06
348,Austria,2021,73.06
370,Azerbaijan,2021,24.77
392,Bahamas,2021,2.12
414,Bahrain,2021,31.96
436,Bangladesh,2021,87.13
458,Barbados,2021,1.07
480,Belarus,2021,43.57
512,Belgium,2021,89.99
534,Belize,2021,0.99
556,Benin,2021,0.88
578,Bermuda,2021,0
600,Bhutan,2021,3.79
622,Bolivia,2021,10.59
644,Bosnia and Herzegovina,2021,12.12
666,Botswana,2021,4.03
688,Brazil,2021,685.68
710,British Virgin Islands,2021,0.14
732,Brunei,2021,4.69
764,Bulgaria,2021,38.43
786,Burkina Faso,2021,2.81
808,Burundi,2021,0.46
830,Cambodia,2021,12.3
852,Cameroon,2021,8.07
874,Canada,2021,587.88
896,Cape Verde,2021,0.45
918,Cayman Islands,2021,0.73
940,Central African Republic,2021,0.15
962,Chad,2021,0.31
984,Chile,2021,81.51
1006,China,2021,8466.32
1028,Colombia,2021,81.37
1050,Comoros,2021,0.14
1072,Congo,2021,4.02
1094,Cook Islands,2021,0.05
1116,Costa Rica,2021,11.71
1138,Cote d'Ivoire,2021,9.71
1170,Croatia,2021,18.77
1192,Cuba,2021,19.75
1224,Cyprus,2021,5.13
1256,Czechia,2021,72.77
1278,Democratic Republic of Congo,2021,11.23
1310,Denmark,2021,37.84
1332,Djibouti,2021,0.59
1354,Dominica,2021,0.17
1376,Dominican Republic,2021,17.58
1398,Ecuador,2021,31.25
1420,Egypt,2021,201.43
1442,El Salvador,2021,7.22
1464,Equatorial Guinea,2021,1.42
1486,Eritrea,2021,0.45
1518,Estonia,2021,10.16
1540,Eswatini,2021,1.66
1562,Ethiopia,2021,12.94
1584,Europe,2021,4760.38
1606,Europe (Ember),2021,5126.75
1628,European Union (27),2021,2872.68
1650,European Union (27) (Ember),2021,2865.44
1672,Faeroe Islands,2021,0.42
1694,Falkland Islands,2021,0.02
1716,Fiji,2021,1.13
1748,Finland,2021,87.93
1780,France,2021,508.24
1802,French Guiana,2021,0
1824,French Polynesia,2021,0.7
1846,G20 (Ember),2021,23417.14
1868,G7 (Ember),2021,7455.09
1890,Gabon,2021,2.84
1912,Gambia,2021,0.3
1934,Georgia,2021,14.26
1966,Germany,2021,562.41
1988,Ghana,2021,19.53
2010,Gibraltar,2021,0
2042,Greece,2021,57.24
2064,Greenland,2021,0.6
2086,Grenada,2021,0.21
2108,Guadeloupe,2021,0
2130,Guam,2021,1.82
2152,Guatemala,2021,14.37
2174,Guinea,2021,2.78
2196,Guinea-Bissau,2021,0.08
2218,Guyana,2021,1.23
