,Entity,Code,Year,Low-carbon electricity (TWh),Carbon intensity of electricity (gCO2/kWh)
0,World,OWID_WRL,2000,5363.2,465.60156
1,World,OWID_WRL,2001,5371.1,467.159
2,World,OWID_WRL,2002,5467.09,470.3425
3,World,OWID_WRL,2003,5469.41,479.55774
4,World,OWID_WRL,2004,5807.66,475.2743
5,World,OWID_WRL,2005,5962.28,478.47473
6,World,OWID_WRL,2006,6142.7,480.5568
7,World,OWID_WRL,2007,6197.32,488.62103
8,World,OWID_WRL,2008,6440.64,482.49384
9,World,OWID_WRL,2009,6491.98,478.78027
10,World,OWID_WRL,2010,6865.67,480.0467
11,World,OWID_WRL,2011,6969.14,486.24228
12,World,OWID_WRL,2012,7112.62,484.78094
13,World,OWID_WRL,2013,7436.22,484.799
14,World,OWID_WRL,2014,7764.67,480.88513
15,World,OWID_WRL,2015,8014.37,471.75504
16,World,OWID_WRL,2016,8395.05,465.3644
17,World,OWID_WRL,2017,8798.23,461.96036
18,World,OWID_WRL,2018,9270.23,459.0975
19,World,OWID_WRL,2019,9712.74,448.71707
20,World,OWID_WRL,2020,10099.11,436.84784
21,World,OWID_WRL,2021,10594.06,441.97113
