Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Africa Eastern and Southern,Africa Western and Central,Arab World,Caribbean small states,Central Europe and the Baltics,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (excluding high income),East Asia & Pacific (IDA & IBRD countries),Euro area,Europe & Central Asia,Europe & Central Asia (excluding high income),Europe & Central Asia (IDA & IBRD countries),European Union,Fragile and conflict affected situations,Heavily indebted poor countries (HIPC),High income,IBRD only,IDA & IBRD total,IDA blend,IDA only,IDA total,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Least developed countries: UN classification,Low & middle income,Low income,Lower middle income,Middle East & North Africa,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),Middle income,North America,Not classified,OECD members,Other small states,Pacific island small states,Post-demographic dividend,Pre-demographic dividend,Small states,South Asia,South Asia (IDA & IBRD),Sub-Saharan Africa,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (IDA & IBRD countries),Upper middle income,World
1990,15.92453168,25.51808763,0.177228303,0,14.27355021,72.25525192,0,8.922907467,2.118944341,0.268747069,8.009577159,25.13575415,0.722062718,0,0,71.6649713,18.94217652,0.817357745,1.269461495,38.01163269,93.70324086,0,95.89885217,37.35900159,7.300098695,47.58463784,49.86467493,1.453020078,0.671759471,1.916848509,93.15806029,95.20067222,36.63404152,..,81.59313508,22.02075369,0,93.49428096,98.1635271,..,34.02687057,34.08361405,38.25119669,49.83857352,92.04773164,65.41378681,45.3807809,73.58234924,21.92317971,42.8902011,0,0.495929367,3.571507027,7.041559801,26.59282984,14.60310056,28.01157941,24.19854913,8.50246618,67.13703581,84.71085961,..,3.356078624,85.24571644,96.63538677,2.544771435,53.09400578,24.50843148,10.40801913,4.731666167,78.28066537,61.44186978,12.77399758,2.098033775,80.62642197,0,7.806882299,0,8.342131789,0,74.96532992,89.29714418,88.57960543,42.2339423,81.1195732,70.12908225,1.073856299,3.856669561,54.67215495,58.65285835,58.59753114,1.238359584,1.596326357,2.279781342,..,5.800245158,3.781463481,7.633355058,4.550664024,2.765358064,1.407717208,77.5040046,5.220941832,7.189592068,1.631946867,..,0.165242348,7.927699743,88.44509701,17.56969052,11.34168091,52.02797925,88.81723914,3.129308451,..,3.096778514,1.721832398,0.66098296,85.64727683,84.03097805,11.98054361,4.458738895,88.63756683,0,..,46.99974359,47.06782744,14.41330169,..,1.140957938,..,1.89262443,..,19.48255574,93.10356192,90.90734721,..,0,95.11971454,1.201611136,10.15799083,30.03059277,68.76593683,..,87.77597276,2.410188215,..,59.17374641,0,57.50053324,..,43.58944565,71.70041076,78.50645262,39.4258282,50.9465674,2.501484839,26.94447493,1.746942855,0,3.355765883,3.751939258,80.08755822,46.20460855,..,50.92907396,0.037984679,55.55101113,15.49165266,4.248395139,91.28215225,0.194833724,..,2.225335934,12.35195059,59.01436959,87.20321653,16.62782171,..,10.54443118,78.0872449,40.03232618,5.467459385,..,15.43977328,73.26663513,..,34.06199197,17.12391004,2.360017397,29.63775189,94.78490931,33.63913092,..,78.70141705,1.486607998,1.193023774,14.48023914,24.51077696,0.277582764,1.792108636,0,96.01851287,0.650122965,0,0.651133978,4.175462186,44.81247732,1.329744598,24.15796686,11.97733019,76.08164466,0,22.08208293,2.148637786,82.98273423,63.97640941,61.62596452,86.08221441,7.344357767,10.2737893,4.142354367,37.07110227,26.19625392,36.99740605,38.0391222,6.499471929,5.706920065,4.072432936,4.065451112,6.895465294,57.26901659,85.9912633,6.384508865,23.01492944,27.60403355,59.28215249,75.45407232,67.13754047,19.56985365,32.43916163,34.58898964,32.22894798,86.06159973,28.52143248,60.62680515,43.35482338,2.859287994,4.043213039,3.977313155,27.22588091,6.157155854,..,7.220896988,26.95002882,47.70016566,6.344831217,78.28335553,23.99912888,60.00470096,60.00470096,71.13463656,71.14376661,71.13463656,19.95289574,17.06715389
2000,44.99,41.36,0.43,0,14.51,73.44,0,9.85,7.16,0.18,8.42,26.44,2.07,0,0,59.06,14.32,5.65,1.44,34.55,70.29,0.46,91.4,29.74,19.35,38.46,42.66,1.05,0,7.97,85.41,93.23,27.88,81.58,84.59,22.04,0,88.9,88.7,..,31.36,29.63,28.03,69.87,97.94,64.86,32.95,63.72,26.76,34.43,0.07,3.08,5.94,10.73,31.44,11.06,19.11,19.43,8.26,33.51,45.85,76.62,19.83,59.39,95.55,2.77,50.06,31.68,9.32,9.85,72.78,62.86,47.25,3.7,71.62,0,7.82,8.8,10.5,0,62.75,85.52,91.24,29.75,80.85,55.24,0.05,5.17,60.66,46.88,45.62,0.44,0.36,2.04,0,5.96,5.12,9.37,3.7,2.09,2.5,78.86,55.85,8.72,0.7,28.27,0,35.16,81.54,35.82,4.89,56.7,90.88,2.04,53.95,17.19,6.81,0.18,82.62,82.62,4.44,2.34,83.47,0,19.57,44.41,20.42,12.17,1.27,5.72,..,5.73,..,15.26,93.64,80.17,34.73,0,88.29,1.73,7.54,29.13,58.42,87.62,86.21,19.38,0,60.18,0,51.05,0,27.67,66.38,70.41,38.57,33.42,6.93,20.12,0.55,0.08,16.37,3.5,86.78,59.69,..,54.73,0.01,47.52,22.09,1.52,91.31,0.33,0,3.73,17.96,55.26,93.28,16.25,..,7.88,64.16,26.64,24.05,..,8.49,80.42,23.63,39.82,18.19,2,62.41,93.73,21.82,0,77.11,2.48,0.76,14.24,17.29,0.09,0.45,0,95.01,1.25,0.08,0.96,5.43,38.73,0.72,48.65,15.29,57.73,0,17.52,0.95,89.98,69.26,65.12879649,83.26934289,6.636856509,10.58970701,9.935285445,30.83635504,22.09785952,31.67635617,32.0733136,7.550777316,7.631024636,5.155025829,5.819717179,8.983007236,61.8697192,85.56229996,7.285527784,23.78394505,29.33470353,59.56809781,77.40728006,68.12232505,21.61664686,28.17639828,29.51254531,28.2564934,83.82386339,29.92003169,70.43586777,41.35100512,2.189235293,2.994201039,2.945706946,28.1792123,7.25043998,..,7.902601848,31.49026356,43.45779571,7.258966007,78.07684892,26.94717066,49.21061484,49.21061484,72.48688661,72.52666249,72.48688661,20.9465163,17.62680994
2012,15.36,39.91,0.18,0.14,18.76,49.47,0.15,8.61,6.56,6.86,8.29,34.38,2.84,1.18,0,37.31,4.21,7.25,7.67,50.07,50.33,0.44,87.32,12.8,15.28,27.55,43.49,0.91,0.01,15.63,77.18,91.45,24.26,64.36,78.53,22.17,0.01,93.07,79.73,..,30.31,11.53,28.9,67.85,95.47,65.3,38.06,74.9,29.4,19.38,0.71,8.69,12.8,26.93,32.48,11.33,16.48,13.2,5.5,30.27,4.42,78.14,24.88,71.41,93.3,4.7,31.73,38.72,12.34,6.64,75.49,56.95,28.69,13.64,46.5,0,14.17,9.76,11.38,0,67.45,76.36,87.81,28.41,82.19,52.27,0.17,16.47,77.82,34.75,28.78,0.93,1.3,6.64,3.5,2.88,14.39,12.16,4.68,2.91,1.33,78.71,47.08,17.83,1.61,20.89,0,22.45,62.36,40.37,5.56,40.53,86.21,2.72,55.5,23.92,4.15,11.13,83.4,80.11,2.52,1.2,78.7,2.67,12.03,31.84,11.45,8.97,1.42,22.14,..,2.97,45.86,10.93,85.15,78.46,31.74,0.07,84.7,4.9,6.17,31.02,53.27,72.71,84.57,18.27,0,58,0,47.2,0,21.25,55.45,63.43,30.8,34.06,10.91,25.52,0.53,0.04,21.53,3.24,88.78,40.26,..,38.89,0.01,49.6,19.47,0.78,79.06,0.51,0.05,10.47,20.22,43.82,93.9,10.6,30.56,15.83,60.7,1.31,12.39,..,5.02,63.76,15.77,48.29,21.88,1.99,55.8,86.15,23.56,25.61,72.65,1.15,0.37,13,13.03,0.05,0.37,0.31,92.95,2.86,0.1,4.77,8.73,47.85,1.34,39.28,13.71,37.9,1,12.24,1.08,84.63,77.5,61.081094,79.01798119,4.264385993,8.312724276,15.69305312,23.91307772,12.57015973,14.7171345,14.70164721,14.80101754,11.68111735,5.236974845,6.371936767,16.09691991,59.82045913,77.95167516,10.67739477,16.20871145,21.68675541,61.80786221,70.3064385,66.05119044,13.71882085,27.53182813,29.07295896,27.80906399,74.27125458,21.85077927,73.18858817,34.3096601,1.638211794,2.626138424,2.588849061,20.09488994,10.24077754,..,11.5071287,26.22444798,29.59844967,10.99821963,73.21565891,23.10977074,37.55449216,37.55449216,68.63022369,68.64903645,68.63022369,13.15364238,16.98900462
2013,16.86,41.14,0.13,0.24,19.14,47.95,0.15,8.91,6.77,6.89,9.21,34.59,2.52,0.96,0,37.08,3.51,6.97,8.22,40.99,51.97,1.47,86.7,12.06,19.48,26.36,42.32,0.97,0.01,18.24,75.43,91.08,25.94,64.97,77.6,22.44,0.01,95.08,76.45,..,30.23,11.45,32.29,62.51,93.92,62.47,37.8,72.16,32.82,18.24,1.39,9.83,13.95,27.05,34.04,11.57,16.55,11.85,5.49,27.54,3.68,78.14,24.43,69.7,92.49,4.53,32.81,38.52,13.42,6.49,82.19,59.33,33.16,13.63,46.19,0,16.61,10.8,10.92,0,67.29,78.53,87.71,26.27,80.39,51.07,0.26,17.18,76.73,34.85,29.7,0.99,1.46,7.44,2.06,3.27,16.32,11.39,5.05,3.12,1.16,76.73,44.53,24.05,1.92,20.93,0,24.81,58.57,39.6,5.92,45.58,87.54,2.48,53.53,26.34,5.72,16.61,81.17,79.68,2.75,1.26,80.92,3.24,12.08,35.02,11.39,9.23,1.41,23.82,..,3.01,49.34,11.59,83.73,75.96,30.55,0.06,86.05,4.94,6.56,30.36,54.28,78.7,82.19,21.16,0,57.42,0,48.13,0,20.71,58.27,62.55,28.35,33.05,11.41,30.17,1.38,0.04,23.07,3.61,88.47,42.61,..,39.36,0.01,42.69,20.03,1.48,75.67,0.56,0.05,10.68,22.48,41.83,94.4,9.77,30.13,16.99,59.88,1.38,12.1,..,5.37,65.7,17.63,47.27,21.83,3.07,55.12,85.39,23.21,22.57,76.19,1.58,0.36,13.17,13.8,0.06,0.37,0.83,92.55,3.49,0.1,6.02,9.08,51.87,1.19,41.26,15.29,37.35,1.68,11.74,0.76,84.56,78.87,60.37830549,77.44593693,4.331575486,7.442246356,16.66400728,24.33047254,12.64331283,14.66101918,14.62694537,15.60454621,12.4011923,5.70711314,6.901701698,16.83569199,59.83573662,77.85377509,11.10879789,16.36302172,21.81902655,62.1680656,70.44769306,66.39831358,13.7230461,27.55088267,28.80901771,27.8428436,73.71426184,21.94518978,74.86813905,34.31906049,1.665979194,2.6651287,2.629750708,20.13673591,10.57781172,..,11.99660936,28.77081272,30.11584915,11.47460523,72.3156651,25.07727491,37.7620398,37.7620398,67.47329014,67.48874663,67.47329014,13.20525814,17.25708378
2014,18.93,38.56,0.07,0.23,19.45,48.23,0.14,9.79,7.08,6.93,9.32,35.67,2.12,1.14,0,35.32,3.44,6.69,9.13,37.47,51.05,0.43,86.54,10.55,23.68,25.38,41.71,1,0.01,17.15,75.24,91.28,26.11,63.7,76.79,22.49,0.01,94.82,76.86,..,26.95,11.94,32.38,66.02,92.87,62.23,37.62,71.91,33.6,23.16,1.66,9.59,14.85,30.18,30.82,9.97,17.28,12.18,5.59,23.95,4.2,77.8,25.3,71.67,91.25,6.54,33.17,41.25,13.2,7.45,81.3,53.17,31.34,14.02,47.69,0,16.41,12.15,11.26,0,66.36,78.57,87.28,24.02,77.77,53.63,0.23,15.72,76.99,33.85,28.32,0.93,1,8.55,1.85,3.7,17.13,11.88,5.58,3.1,1.34,74.95,46.41,21.23,2.87,21.38,0,26.6,58.25,40.24,4.24,42.39,84.02,2.41,54.97,27.73,6.85,11.45,80.12,82.7,3.03,1.2,80.93,4.48,11.75,30.92,10.59,9.76,1.4,24.31,..,3.34,45.95,11.14,81.92,72.43,30.09,0.05,84.06,5.53,4.29,31.09,53.02,78.08,80.64,21.19,0,56.9,0,47.22,0.02,19.78,56.82,62.54,28.56,32.33,11.58,30.46,1.65,0.05,24.31,3.3,87.95,41.24,..,39.63,0.01,42.53,23.25,1.37,73.88,0.59,0.05,12.24,22.91,45.89,94.64,9.85,29.85,17.41,57.31,1.63,11.72,..,3.32,64.91,12.85,48.61,22.2,2.68,45.89,85.37,24.41,18.08,81.44,1.7,0.35,12.86,11.51,0.05,0.36,0.8,91.84,3.5,0.14,7.36,9.22,56.7,1.4,31.74,12.01,36.64,2.94,10.76,0.76,83.77,80.27,60.712292,76.19041194,4.217009844,6.909166887,17.0756554,23.76240941,13.07502747,14.99969943,14.97550585,16.22322626,12.56673678,5.352515862,6.606809462,17.49141136,59.70772473,77.51345501,11.33665061,16.36680511,21.76643839,60.85732995,69.99936854,65.58482189,13.92519472,27.38902675,28.98811391,27.60468713,73.01559731,21.92290643,74.61640666,33.54371717,1.583990744,2.532597891,2.492102916,20.09080514,10.68602029,..,12.22944659,26.68666618,30.31112292,11.80783717,72.59464634,23.387146,36.70264374,36.70264374,67.03961639,67.05532975,67.03961639,13.44706231,17.40155398
2015,17.53,38.47,0.06,0.23,19.32,47.84,0.48,9.4,10.74,6.73,9.31,34.82,2.33,1.54,0,31.93,3.16,6.83,9.37,30.34,49.94,0.55,86.68,8.02,25.28,25.58,43.62,1,0.01,17.85,72.71,91.15,26.35,60.63,78.06,22.69,0.01,92.86,77.35,..,25.07,12.18,31.6,64.17,95.82,64.15,38.33,64.51,33.09,21.15,1.6,10.51,14.84,32.89,28.18,8.8,14.88,13.07,5.45,21.03,4.56,77.56,28.16,71.68,91.56,7.47,32.74,43.23,13.34,7.83,81.95,48.95,28.15,14.55,44.02,0,17.47,12.72,11.07,1.26,63.4,76.23,87.15,24.95,76.12,52.68,0.2,15.6,77.33,33.4,26.69,0.91,0.82,9.2,2.17,3.74,16.57,12.12,6.16,3.19,1.72,72.04,45.73,23.31,2.74,20.37,0.01,23.3,53.27,38.1,4.17,44.94,83.93,3.05,55.53,28.96,9.09,5.41,80.55,80.87,3.41,1.38,79.93,5.98,11.32,28.2,11.49,9.19,1.44,24.73,..,3.55,42.96,11.25,80.8,70.43,28.99,0.1,85.04,5.72,5.09,31.24,50,78.88,82.15,23.91,0,58.12,0,45.88,0.04,21.9,55.15,60.51,27.43,30.75,11.87,27.21,1.86,0.05,23.67,3.2,86.31,37.47,..,40.23,0.01,39.11,21.24,1.36,75,0.65,0.05,13.41,21.38,48.64,94.5,10.28,26.7,16.33,52.89,1.63,11.52,..,4.3,63.02,11.59,51.91,23.94,0.58,48.11,84.62,22.65,18,81.03,1.94,0.37,12.5,13.34,0.05,0.37,3.88,91.07,4.15,0.13,8.61,9.03,59.4,1.71,35.91,15.33,30.33,4.16,10.99,1.96,83.09,80.82,61.10639747,76.7528567,4.126902394,6.893812844,17.14463135,23.657426,13.05620551,14.86908178,14.84314965,16.19428787,13.00658312,5.747774113,6.990044086,17.62705611,63.13061602,76.79777685,11.42090654,16.44254429,21.9013527,61.64348569,69.69155944,65.79618332,13.99352309,27.90991095,29.16724068,28.16183806,72.95048595,22.02356333,77.13810811,33.25343114,1.557302387,2.52380051,2.481600598,20.16354321,10.52764424,..,12.34832359,27.0121799,30.40166867,11.95583418,73.60904479,23.74720548,35.97216341,35.97216341,67.52603164,67.54188294,67.52603164,13.66518498,17.54278297
2016,19.92,39.43,0.08,0.3,19.32,49.03,0.6,9.38,13.15,6.99,9.42,34.64,1.94,1.53,0,30.49,3.49,6.74,9.2,33.38,45.42,1.09,85.02,7.95,23.03,26.13,45.46,1.01,0.01,17.71,72.27,89.52,24.62,58.01,78.78,22.05,0.01,92.11,77.77,..,24.55,12.56,30.74,60.5,97.03,67.61,36.81,64.04,31.83,19.2,1.74,10.36,14.77,32.17,24.91,10.88,15.31,14.75,5.31,20.71,3.95,77.31,27.24,69.61,90.49,6.32,27.68,42.4,14.24,8.08,80.77,48.62,27.64,14.24,45.22,0,16.41,12.05,11.4,3.03,63.34,75.29,86.73,21.41,76.13,52.77,0.16,15.34,80.25,33.02,28.24,1.04,0.94,8.59,1.96,3.98,16.09,11.07,6.39,4.67,2.07,70.94,46.49,22.04,2.55,26.52,0.01,21.92,51.7,38.48,3.96,43.55,82.66,2.58,55.82,31.47,13.5,5.38,83.85,78.69,4.43,1.21,76.16,9.22,11.75,31.66,10.33,9.22,1.57,25.3,..,3.39,43.89,11.06,78.2,69.25,29.33,0.18,79.2,5.59,3.7,31.83,49.54,80.25,82.02,21.37,0,59.39,0,43.69,0.05,22.1,54.56,62.49,27.2,28.45,11.34,29,1.89,0.06,24.4,3.36,86.23,36.82,..,39.2,0.01,36.72,20.91,1.22,73.6,0.68,0.05,13.09,20.96,48.7,94.78,10.53,28.79,17.21,50.92,1.68,11.17,..,4.1,59.52,11.29,50.89,24.1,1.16,41.16,85.7,22.43,12.67,80.65,2.03,0.43,12.4,13.23,0.05,0.37,9.46,90.83,5.48,0.12,8.6,9.46,60.32,1.61,33.4,14.51,22.48,4.13,12.32,2.48,83.07,81.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,19.21,37.07,0.14,0.49,19.15,56.25,0.6,10.37,12.56,6.7,9.69,33.98,1.91,1.44,0,28.36,5.13,7.29,9.64,36.25,45.38,0.64,83.63,7.27,18.52,26.12,45.33,1.23,0.01,17.12,69.08,88.12,22.87,56.25,79.17,22.47,0.01,91.58,78.27,..,24.11,13.13,32.53,56.42,96.7,69.73,36.2,62.54,29.79,22,2.22,11.03,14.46,35.2,24.13,9.84,16.87,17.05,5.1,24.99,3.54,75.37,27.53,65.54,90.22,5.97,28.55,44.48,14.12,8.07,90.1,48.02,28.03,15.22,44.43,0,16.38,11.05,11.48,2.96,65.09,71.96,86.8,22.18,76.17,45.92,0.2,14.54,80.08,32.41,26.15,0.98,0.57,10.1,1.88,3.86,16.43,10.98,6.92,5.26,2.02,71.3,41.15,11.98,2.84,25.26,0.02,24.55,50.58,42.6,3.97,39.62,84.77,2.72,55.33,33.78,15.33,3.87,81.32,75.94,5.22,1.25,76.37,7.27,11.75,26.54,9.42,9.99,1.41,26.07,..,3.19,37.77,10.45,78.9,59.92,29.94,0.6,76.41,6.36,5.08,30.22,48.91,82.01,82.32,19,0,61.09,0,42.09,0.05,23.6,54.45,60.12,27.59,27.68,11.12,24.42,2.26,0.07,23.35,3.25,85.98,35.79,..,38.42,0.02,37.93,20,1.25,74.61,0.67,0.05,12.43,19.71,48.98,94.9,10.45,28.63,15.71,49.33,1.6,10.22,..,5.29,60.47,14.96,51.81,24.99,0.85,41.69,84.92,22.25,13.21,77.73,1.96,0.42,11.82,11.4,0.06,0.32,8.74,90.76,6.48,0.19,9.7,9.92,60.82,1.75,36.13,14.31,25.02,3.46,10.51,2.8,81.89,82.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,17.96,38.11,0.19,0.49,18.58,57.36,0.9,10.52,11.13,8.02,9.67,34.11,1.93,1.02,0,26.88,5.79,7.22,10.66,34.64,43.97,0.67,82.22,7.37,35.4,25.76,46.95,1.26,0.01,19.6,66.97,85.58,22.93,56.38,79.25,21.99,0.01,91.42,77.7,..,25.46,13.71,30.72,55.01,96.38,69.34,35.7,62.99,32.83,24.11,3.02,12.11,14.72,34.67,27.84,8.3,15.95,16.33,5.23,23.21,4.91,74.03,28.59,66.07,89.42,5.86,25.8,44.17,15.21,7.72,90.13,49.01,27.94,16.12,41.48,0,17.86,13.49,10.69,3.04,64.12,69.88,86.59,16.81,76.25,49.76,0.23,13.58,80.71,32.82,21.05,1,0.49,10.78,2.04,3.75,17.08,8.88,7.22,7.2,1.88,72.47,41.03,13.19,3.18,27,0.03,23.21,50.22,40.97,4.75,40.22,87.06,2.75,56.81,33.73,16.09,8.43,83.74,73.03,5.31,1.12,76.61,7.54,11.72,25.17,9.19,10.03,1.75,25.75,..,3.26,40.6,10.9,79.57,59.55,30.66,0.66,74.27,7.39,4.77,30.73,51.44,82,82.28,20.87,0,60.75,0,43.3,0.3,24.44,52.96,59.24,27.89,27.51,11.27,27.47,1.36,0.05,23.03,3.18,84.5,36.63,..,37.85,0.02,36.15,21.05,1.24,75.95,0.73,0.05,12.43,20.61,48.64,94.93,10.19,28.65,17.42,51.4,1.6,10.22,..,4.93,61.27,17.55,51.54,24.2,0.9,39.47,85.24,23.7,12.71,75.08,1.78,0.45,11.91,11.83,0.06,0.44,8.32,90.07,6.92,0.32,10.99,10.12,60.86,1.49,29.96,14.57,21.81,3.43,12.73,3.6,82.28,80.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,18.51,40.2,0.16,0.5,18.4,54.69,0.91,10.74,10.34,7.48,10.13,33.77,1.62,1.14,0,24.75,4.31,7.83,10.21,29.09,46.47,0.84,82.27,8.67,37.02,25.57,47.57,1.23,0.01,19.34,64.85,84.77,22.19,53.36,79.41,22.11,0,91.26,77.79,..,25.26,14.45,30.72,53.43,96.24,68.67,35.76,62.46,31.6,21.54,2.68,12.05,15.85,37.52,27.92,8.05,13.98,17.73,5.3,19.39,6.58,73.67,31.29,65.95,88.92,5.4,26.48,45.76,15.53,7.67,89.88,49.24,25.22,17.17,41.8,0,18.51,12.6,10.37,3.02,62.92,65.44,86.24,11.35,76.4,45.96,0.23,13.64,81.07,32.93,19.09,0.98,0.43,12.34,1.9,4.47,17.27,9.09,7.69,8.17,1.7,68.08,41.03,11.31,3.36,26.1,0.06,27.88,48.43,41.52,5.46,39.47,87.24,2.8,56.13,33.53,16.45,8.43,82.77,73.02,5.11,1.11,76.64,7.7,11.7,24.7,8.94,10.34,1.78,22.04,..,3.32,38.74,10.69,78.08,57.85,30.69,0.61,77.39,8.54,5.4,29.65,50.71,80.83,81.4,16.32,0,62.37,0,43.36,0.29,18.91,53.09,60.09,27.12,26.73,12.18,28.19,2.42,0.04,23.54,3.22,77.86,34.21,..,37.09,0.03,37.2,21.53,1.47,75.44,0.84,0.05,17.64,20.86,48.39,95.03,10.5,26.65,17.27,49.91,1.58,9.75,..,5.68,62.23,14.4,52.88,24.76,1.02,38.56,85.22,23.96,11.67,76.21,1.77,0.43,12.2,14.12,0.06,0.45,8.2,90.22,7.44,0.67,12.24,10.42,60.76,1.57,31.86,15.62,18.65,3.66,13.86,3.11,84.5,81.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
