,Date,Price,Change %,Year,Renewables (TWh growth - equivalent),Year1
0,01/12/2022,84.13,-0.91%,2021,1189.818359,2022
1,01/11/2022,84.9,6.16%,2020,1111.035156,2022
2,01/10/2022,79.97,19.84%,2019,975.3886719,2022
3,01/09/2022,66.73,-16.62%,2018,1118.789063,2022
4,01/08/2022,80.03,1.88%,2017,996.7578125,2022
5,01/07/2022,78.55,-12.88%,2016,892.8183594,2022
6,01/06/2022,90.16,7.31%,2015,552.1425781,2022
7,01/05/2022,84.02,-0.51%,2014,716.5507813,2022
8,01/04/2022,84.45,10.42%,2013,891.3740234,2022
9,01/03/2022,76.48,-6.97%,2012,818.8261719,2022
10,01/02/2022,82.21,-7.88%,2011,561.4111328,2022
11,01/01/2022,89.24,10.65%,2010,898.7421875,2022
12,01/12/2021,80.65,6.50%,2009,249.0605469,2021
13,01/11/2021,75.73,28.18%,2008,798.1337891,2021
14,01/10/2021,59.08,-4.95%,2007,365.3447266,2021
15,01/09/2021,62.16,1.78%,2006,456.7666016,2021
16,01/08/2021,61.07,13.75%,2005,375.3115234,2021
17,01/07/2021,53.69,-5.44%,2004,660.1171875,2021
18,01/06/2021,56.78,8.69%,2003,28.05566406,2021
19,01/05/2021,52.24,5.94%,2002,206.2324219,2021
20,01/04/2021,49.31,14.97%,2001,-211.4814453,2021
21,01/03/2021,42.89,14.07%,2000,189.2636719,2021
22,01/02/2021,37.6,13.32%,1999,101.1669922,2021
23,01/01/2021,33.18,0.73%,1998,93.77148438,2021
24,01/12/2020,32.94,11.28%,1997,177.0688477,2020
25,01/11/2020,29.6,22.36%,1996,108.7666016,2020
26,01/10/2020,24.19,-12.04%,1995,406.2670898,2020
27,01/09/2020,27.5,-6.87%,1994,72.87890625,2020
28,01/08/2020,29.53,8.49%,1993,414.5146484,2020
29,01/07/2020,27.22,-1.66%,1992,26.02832031,2020
30,01/06/2020,27.68,24.80%,1991,171.8095703,2020
31,01/05/2020,22.18,8.78%,1990,261.9135742,2020
32,01/04/2020,20.39,10.69%,1989,9.989257813,2020
33,01/03/2020,18.42,-23.31%,1988,205.9448242,2020
34,01/02/2020,24.02,-1.19%,1987,100.671875,2020
35,01/01/2020,24.31,-3.46%,1986,116.4628906,2020
36,01/12/2019,25.18,-2.93%,1985,131.5444336,2019
37,01/11/2019,25.94,-1.56%,1984,221.8759766,2019
38,01/10/2019,26.35,2.29%,1983,257.1523438,2019
39,01/09/2019,25.76,-5.88%,1982,128.9111328,2019
40,01/08/2019,27.37,-6.84%,1981,118.7177734,2019
41,01/07/2019,29.38,6.84%,1980,120.965332,2019
42,01/06/2019,27.5,8.06%,1979,253.4628906,2019
43,01/05/2019,25.45,-7.22%,1978,375.7363281,2019
44,01/04/2019,27.43,20.20%,1977,154.2021484,2019
45,01/03/2019,22.82,-1.34%,1976,-4.1796875,2019
46,01/02/2019,23.13,-3.22%,1975,52.78271484,2019
47,01/01/2019,23.9,-11.68%,1974,385.3491211,2019
48,01/12/2018,27.06,19.21%,1973,60.8449707,2018
