,Entity,Year,Geo Biomass Other - TWh (zero filled),Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Total energy consumption 
0,World,1965,17.9852314,9.02986145,0.0,0.0,2729.886719,72.46934509,6303.798828,16140.17871,17989.60352,43262.95221
1,World,1966,19.80600739,9.209843636,0.0,0.0,2909.13623,97.70497894,6868.794434,16324.09375,19341.14648,45569.89172
2,World,1967,19.98657036,9.38371563,0.0,0.0,2973.969238,116.3551788,7374.039551,16060.80957,20732.13672,47286.68054
3,World,1968,22.12004471,9.553799629,0.0,0.0,3132.305176,147.8718872,8044.331543,16301.14648,22488.33203,50145.66096
4,World,1969,23.25796509,9.723980904,0.0,0.0,3316.980469,175.3113556,8833.417969,16798.73633,24353.0,53510.42807
5,World,1970,25.70189667,11.0390625,0.0,0.0,3473.426514,223.8080139,9614.791992,17058.60742,26505.18359,56912.55849
6,World,1971,27.88829422,11.64955807,0.0,0.0,3628.941895,311.2872314,10293.2002,16965.77734,27994.79688,59233.5414
7,World,1972,29.88877487,12.94693279,0.0,0.0,3798.634277,431.7992554,10861.72363,17158.63672,30112.26367,62405.89326
8,World,1973,32.0958519,12.5866394,0.0,0.0,3852.995117,578.5737915,11377.83789,17667.84961,32534.80664,66056.74554
9,World,1974,34.28908539,12.16781425,0.0,0.0,4232.136719,756.4817505,11659.86523,17682.05078,32078.17969,66455.17107
10,World,1975,34.81208038,11.48027992,0.0,0.0,4284.33252,1049.449707,11659.74121,18024.53711,31715.76953,66780.12244
11,World,1976,38.79104996,11.86993122,0.0,0.0,4267.339355,1227.71167,12354.14355,18688.48438,33752.46484,70340.80478
12,World,1977,40.89204025,15.85667896,0.0,0.0,4410.859375,1528.137451,12759.84277,19241.30078,34928.13672,72925.02582
13,World,1978,43.29664993,20.97179222,0.0,0.008861111,4773.711426,1775.700928,13293.95215,19457.9043,36509.91797,75875.46408
14,World,1979,46.49925613,26.00082588,0.0,0.017750001,5012.646973,1846.824707,14118.03223,20363.53906,37064.56641,78478.12721
15,World,1980,49.71746445,29.85854721,0.0,0.031048333,5120.468262,2020.095581,14236.96094,20857.60938,35514.42188,77829.1631
16,World,1981,53.48617172,27.29734802,0.0,0.031048333,5230.628906,2385.642822,14395.87402,21149.67969,34251.57031,77494.21032
17,World,1982,61.70895386,35.22252274,0.0,0.054704167,5325.266113,2588.317383,14469.73535,21385.45117,33185.26953,77051.02573
18,World,1983,68.35492706,44.50929642,0.008861111,0.096974447,5552.54248,2933.458984,14703.83301,22046.3457,32937.60547,78286.7557
19,World,1984,76.34615326,53.71253204,0.018666666,0.132341668,5740.620117,3559.856689,15902.68066,23001.08008,33680.05469,82014.50193
20,World,1985,79.07157898,63.57527924,0.034737222,0.189898327,5854.193848,4224.837402,16262.22168,23987.82813,33660.10156,84132.05411
21,World,1986,85.91538239,79.67752838,0.044898335,0.410522789,5933.473633,4525.086426,16421.11133,24258.0332,34700.83594,86004.58886
22,World,1987,91.96002197,81.1354599,0.031353056,0.57772696,6013.859375,4922.331055,17281.89648,25212.42578,35393.54297,88997.76022
23,World,1988,94.60190582,85.56256104,0.030149445,0.98047775,6206.563965,5366.448242,18088.8457,25967.12891,36552.58984,92362.75175
24,World,1989,104.530365,91.30406189,0.7753914,7.835361481,6173.58252,5518.996582,18867.30859,26215.67578,37156.83594,94136.84459
25,World,1990,117.1966019,100.9355927,1.148183942,10.74117661,6383.381348,5676.34082,19481.125,25904.46875,37608.01953,95283.357
26,World,1991,122.2344055,106.6506271,1.493879437,12.08434772,6532.162598,5947.927246,19972.83984,25654.25195,37610.64063,95960.28552
27,World,1992,131.1373444,104.6589661,1.37968719,13.99605656,6530.393555,5993.084473,20063.48438,25556.59375,38151.84766,96546.57587
28,World,1993,135.5193176,109.135025,1.646148562,16.84765053,6923.665039,6199.476563,20265.48438,25685.59375,37960.61328,97297.98115
29,World,1994,140.6436768,117.9161911,1.765363932,21.06242752,6967.245605,6315.866699,20389.61523,25784.77734,38793.50781,98532.40034
30,World,1995,146.6167297,124.0906754,1.888965607,24.43041801,7344.211914,6589.833496,21104.49414,25963.68164,39442.17578,100741.4238
31,World,1996,150.6828918,119.1962967,2.067550659,27.21790504,7442.817383,6829.333984,22159.25586,26582.12305,40314.29688,103626.9918
32,World,1997,161.3907318,124.0634079,2.216514111,35.53655243,7572.938477,6782.445313,22030.39258,26536.6875,41413.24609,104658.9172
33,World,1998,168.1891022,126.4851151,2.400451183,47.07899475,7631.976563,6899.195801,22434.0,26366.36523,41644.41406,105320.1053
34,World,1999,176.6198425,128.3188324,2.676657438,62.73600006,7689.77832,7161.753418,23071.9043,26479.49609,42370.09375,107143.3772
35,World,2000,184.7501984,125.5153275,3.131363392,92.8714447,7826.166016,7323.339844,23994.25781,27427.52344,42880.92578,109858.4812
36,World,2001,191.894104,121.6528397,4.181310654,112.7565689,7575.620605,7481.208984,24316.83398,27860.15234,43255.68359,110919.9843
37,World,2002,206.54245,151.3021088,5.251040459,152.7857666,7665.618652,7551.708984,25030.14258,28955.10352,43608.86328,113327.3184
38,World,2003,218.1429443,171.0836639,6.540081024,183.5355072,7606.506836,7351.345703,25729.58984,31499.23242,44580.64844,117346.6254
39,World,2004,235.696228,202.1987305,8.562891006,246.7448883,8116.037598,7636.450195,26721.10156,33673.01172,46270.65625,123110.4601
40,World,2005,255.0817108,240.3444824,11.98942757,299.6400146,8336.203125,7608.07373,27438.03711,36169.05859,46672.65625,127031.0844
41,World,2006,271.760437,298.0293884,16.39476395,379.8566589,8599.056641,7654.419434,28161.10547,38069.03516,47172.60938,130622.2673
42,World,2007,294.8430786,391.1390076,22.10608482,484.9559326,8688.975586,7451.547852,29315.39063,40228.41797,47758.875,134636.2511
43,World,2008,315.4187317,527.3995361,35.68049622,622.1779175,9136.709961,7382.284668,30021.31836,40773.58203,47338.6875,136153.2592
44,World,2009,338.8140259,600.3394775,58.85353851,773.0018311,9066.299805,7232.938965,29401.19141,40175.35938,46371.56641,134018.3648
45,World,2010,380.7774658,691.1564331,94.12340546,961.5288086,9518.042969,7373.733398,31588.86328,41996.38672,47895.07422,140499.6867
46,World,2011,402.3552551,728.1022949,180.9189758,1214.866699,9635.075195,7022.148926,32340.17969,44017.29688,48307.65625,143848.6002
47,World,2012,435.7163696,754.131897,278.4185181,1454.587036,9985.884766,6500.992188,33194.03516,44184.375,49010.70703,145798.848
