,Date,Price,Change %,Year,Renewables (TWh growth - equivalent),Year1
0,2022-12-01 00:00:00,84.13,-0.91%,-,-,2022.0
1,2022-11-01 00:00:00,84.9,6.16%,-,-,2022.0
2,2022-10-01 00:00:00,79.97,19.84%,-,-,2022.0
3,2022-09-01 00:00:00,66.73,-16.62%,-,-,2022.0
4,2022-08-01 00:00:00,80.03,1.88%,-,-,2022.0
5,2022-07-01 00:00:00,78.55,-12.88%,-,-,2022.0
6,2022-06-01 00:00:00,90.16,7.31%,-,-,2022.0
7,2022-05-01 00:00:00,84.02,-0.51%,-,-,2022.0
8,2022-04-01 00:00:00,84.45,10.42%,-,-,2022.0
9,2022-03-01 00:00:00,76.48,-6.97%,-,-,2022.0
10,2022-02-01 00:00:00,82.21,-7.88%,-,-,2022.0
11,2022-01-01 00:00:00,89.24,10.65%,-,-,2022.0
12,2021-12-01 00:00:00,80.65,6.50%,-,-,2021.0
13,2021-11-01 00:00:00,75.73,28.18%,-,-,2021.0
14,2021-10-01 00:00:00,59.08,-4.95%,-,-,2021.0
15,2021-09-01 00:00:00,62.16,1.78%,-,-,2021.0
16,2021-08-01 00:00:00,61.07,13.75%,-,-,2021.0
17,2021-07-01 00:00:00,53.69,-5.44%,-,-,2021.0
18,2021-06-01 00:00:00,56.78,8.69%,-,-,2021.0
19,2021-05-01 00:00:00,52.24,5.94%,-,-,2021.0
20,2021-04-01 00:00:00,49.31,14.97%,-,-,2021.0
21,2021-03-01 00:00:00,42.89,14.07%,-,-,2021.0
22,2021-02-01 00:00:00,37.6,13.32%,-,-,2021.0
23,2021-01-01 00:00:00,33.18,0.73%,-,-,2021.0
24,2020-12-01 00:00:00,32.94,11.28%,-,-,2020.0
25,2020-11-01 00:00:00,29.6,22.36%,-,-,2020.0
26,2020-10-01 00:00:00,24.19,-12.04%,-,-,2020.0
27,2020-09-01 00:00:00,27.5,-6.87%,-,-,2020.0
28,2020-08-01 00:00:00,29.53,8.49%,-,-,2020.0
29,2020-07-01 00:00:00,27.22,-1.66%,-,-,2020.0
30,2020-06-01 00:00:00,27.68,24.80%,-,-,2020.0
31,2020-05-01 00:00:00,22.18,8.78%,-,-,2020.0
32,2020-04-01 00:00:00,20.39,10.69%,-,-,2020.0
33,2020-03-01 00:00:00,18.42,-23.31%,-,-,2020.0
34,2020-02-01 00:00:00,24.02,-1.19%,-,-,2020.0
35,2020-01-01 00:00:00,24.31,-3.46%,-,-,2020.0
36,2019-12-01 00:00:00,25.18,-2.93%,-,-,2019.0
37,2019-11-01 00:00:00,25.94,-1.56%,-,-,2019.0
38,2019-10-01 00:00:00,26.35,2.29%,-,-,2019.0
39,2019-09-01 00:00:00,25.76,-5.88%,-,-,2019.0
40,2019-08-01 00:00:00,27.37,-6.84%,-,-,2019.0
41,2019-07-01 00:00:00,29.38,6.84%,-,-,2019.0
42,2019-06-01 00:00:00,27.5,8.06%,-,-,2019.0
43,2019-05-01 00:00:00,25.45,-7.22%,-,-,2019.0
44,2019-04-01 00:00:00,27.43,20.20%,-,-,2019.0
45,2019-03-01 00:00:00,22.82,-1.34%,-,-,2019.0
46,2019-02-01 00:00:00,23.13,-3.22%,-,-,2019.0
47,2019-01-01 00:00:00,23.9,-11.68%,-,-,2019.0
48,2018-12-01 00:00:00,27.06,19.21%,-,-,2018.0
49,2018-11-01 00:00:00,22.7,22.77%,-,-,2018.0
50,2018-10-01 00:00:00,18.49,-24.93%,-,-,2018.0
51,2018-09-01 00:00:00,24.63,6.16%,-,-,2018.0
52,2018-08-01 00:00:00,23.2,19.96%,-,-,2018.0
